"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","TEACHER","PRY_50_OVER","PC","A","2012",26.043,
"CAN","TEACHER","PRY_50_OVER","PC","A","2013",25.536,
"CAN","TEACHER","PRY_50_OVER","PC","A","2014",25.825,
"CAN","TEACHER","PRY_50_OVER","PC","A","2015",26.129,
"CAN","TEACHER","PRY_50_OVER","PC","A","2016",26.203,
"CAN","TEACHER","PRY_50_OVER","PC","A","2017",26.464,
"CAN","TEACHER","PRY_LT30","PC","A","2005",13.936,
"CAN","TEACHER","PRY_LT30","PC","A","2010",13.936,
"CAN","TEACHER","PRY_LT30","PC","A","2011",13.908,
"CAN","TEACHER","PRY_LT30","PC","A","2012",12.599,
"CAN","TEACHER","PRY_LT30","PC","A","2013",12.392,
"CAN","TEACHER","PRY_LT30","PC","A","2014",11.668,
"CAN","TEACHER","PRY_LT30","PC","A","2015",11.371,
"CAN","TEACHER","PRY_LT30","PC","A","2016",11.068,
"CAN","TEACHER","PRY_LT30","PC","A","2017",10.818,
"CAN","TEACHER","TRY_50_OVER","PC","A","2005",41.911,
"CAN","TEACHER","TRY_50_OVER","PC","A","2010",41.911,
"CAN","TEACHER","TRY_50_OVER","PC","A","2011",44.807,
"CAN","TEACHER","TRY_50_OVER","PC","A","2012",44.806,
"CAN","TEACHER","TRY_50_OVER","PC","A","2013",44.806,
"CAN","TEACHER","TRY_50_OVER","PC","A","2014",44.807,
"CAN","TEACHER","TRY_50_OVER","PC","A","2015",44.807,
"CAN","TEACHER","TRY_50_OVER","PC","A","2016",43.429,
"CAN","TEACHER","TRY_50_OVER","PC","A","2017",47.516,
"CAN","TEACHER","TRY_LT30","PC","A","2005",10.199,
"CAN","TEACHER","TRY_LT30","PC","A","2010",10.199,
"CAN","TEACHER","TRY_LT30","PC","A","2011",8.59,
"CAN","TEACHER","TRY_LT30","PC","A","2012",8.59,
"CAN","TEACHER","TRY_LT30","PC","A","2013",8.59,
"CAN","TEACHER","TRY_LT30","PC","A","2014",8.59,
"CAN","TEACHER","TRY_LT30","PC","A","2015",8.59,
"CAN","TEACHER","TRY_LT30","PC","A","2016",7.494,
"CAN","TEACHER","TRY_LT30","PC","A","2017",5.44,
"CZE","TEACHER","PRY_50_OVER","PC","A","2005",,"M"
"CZE","TEACHER","PRY_50_OVER","PC","A","2010",35.341,
"CZE","TEACHER","PRY_50_OVER","PC","A","2011",28.331,
"CZE","TEACHER","PRY_50_OVER","PC","A","2012",31.051,
"CZE","TEACHER","PRY_50_OVER","PC","A","2013",31.087,
"CZE","TEACHER","PRY_50_OVER","PC","A","2014",33.622,
"CZE","TEACHER","PRY_50_OVER","PC","A","2015",39.049,
"CZE","TEACHER","PRY_50_OVER","PC","A","2016",40.813,
"CZE","TEACHER","PRY_50_OVER","PC","A","2017",42.161,
"CZE","TEACHER","PRY_LT30","PC","A","2005",,"M"
"CZE","TEACHER","PRY_LT30","PC","A","2010",6.025,
"CZE","TEACHER","PRY_LT30","PC","A","2011",8.427,
"CZE","TEACHER","PRY_LT30","PC","A","2012",8.911,
"CZE","TEACHER","PRY_LT30","PC","A","2013",8.901,
"CZE","TEACHER","PRY_LT30","PC","A","2014",9.848,
"CZE","TEACHER","PRY_LT30","PC","A","2015",7.719,
"CZE","TEACHER","PRY_LT30","PC","A","2016",7.844,
"CZE","TEACHER","PRY_LT30","PC","A","2017",8.282,
"CZE","TEACHER","SRY_50_OVER","PC","A","2005",,"M"
"CZE","TEACHER","SRY_50_OVER","PC","A","2010",44.144,
"CZE","TEACHER","SRY_50_OVER","PC","A","2011",38.373,
"CZE","TEACHER","SRY_50_OVER","PC","A","2012",39.061,
"CZE","TEACHER","SRY_50_OVER","PC","A","2013",38.978,
"CZE","TEACHER","SRY_50_OVER","PC","A","2014",40.856,
"CZE","TEACHER","SRY_50_OVER","PC","A","2015",43.318,
"CZE","TEACHER","SRY_50_OVER","PC","A","2016",43.741,
"CZE","TEACHER","SRY_50_OVER","PC","A","2017",44.746,
"CZE","TEACHER","SRY_LT30","PC","A","2005",,"M"
"CZE","TEACHER","SRY_LT30","PC","A","2010",5.731,
"CZE","TEACHER","SRY_LT30","PC","A","2011",9.342,
"CZE","TEACHER","SRY_LT30","PC","A","2012",9.381,
"CZE","TEACHER","SRY_LT30","PC","A","2013",7.296,
"CZE","TEACHER","SRY_LT30","PC","A","2014",8.682,
"CZE","TEACHER","SRY_LT30","PC","A","2015",6.354,
"CZE","TEACHER","SRY_LT30","PC","A","2016",6.163,
"CZE","TEACHER","SRY_LT30","PC","A","2017",6.279,
"CZE","TEACHER","TRY_50_OVER","PC","A","2005",,"M"
"CZE","TEACHER","TRY_50_OVER","PC","A","2010",,"M"
"CZE","TEACHER","TRY_50_OVER","PC","A","2011",,"M"
"CZE","TEACHER","TRY_50_OVER","PC","A","2012",,"M"
"CZE","TEACHER","TRY_50_OVER","PC","A","2014",,"M"
"CZE","TEACHER","TRY_50_OVER","PC","A","2016",,"M"
"CZE","TEACHER","TRY_50_OVER","PC","A","2017",,"M"
"CZE","TEACHER","TRY_LT30","PC","A","2005",,"M"
"CZE","TEACHER","TRY_LT30","PC","A","2010",,"M"
"CZE","TEACHER","TRY_LT30","PC","A","2011",,"M"
"CZE","TEACHER","TRY_LT30","PC","A","2012",,"M"
"CZE","TEACHER","TRY_LT30","PC","A","2014",,"M"
"CZE","TEACHER","TRY_LT30","PC","A","2016",,"M"
"CZE","TEACHER","TRY_LT30","PC","A","2017",,"M"
"DNK","TEACHER","PRY_50_OVER","PC","A","2014",33.124,
"DNK","TEACHER","PRY_50_OVER","PC","A","2015",,"M"
"DNK","TEACHER","PRY_50_OVER","PC","A","2016",,"M"
"DNK","TEACHER","PRY_LT30","PC","A","2014",11.877,
"DNK","TEACHER","PRY_LT30","PC","A","2015",,"M"
"DNK","TEACHER","PRY_LT30","PC","A","2016",,"M"
"DNK","TEACHER","SRY_50_OVER","PC","A","2005",,"M"
"DNK","TEACHER","SRY_50_OVER","PC","A","2010",,"M"
"DNK","TEACHER","SRY_50_OVER","PC","A","2011",,"M"
"DNK","TEACHER","SRY_50_OVER","PC","A","2012",,"M"
"DNK","TEACHER","SRY_50_OVER","PC","A","2013",,"M"
"DNK","TEACHER","SRY_50_OVER","PC","A","2014",35.933,
"DNK","TEACHER","SRY_50_OVER","PC","A","2015",,"M"
"DNK","TEACHER","SRY_50_OVER","PC","A","2016",,"M"
"DNK","TEACHER","SRY_50_OVER","PC","A","2017",,"M"
"DNK","TEACHER","SRY_LT30","PC","A","2005",,"M"
"DNK","TEACHER","SRY_LT30","PC","A","2010",,"M"
"DNK","TEACHER","SRY_LT30","PC","A","2011",,"M"
"DNK","TEACHER","SRY_LT30","PC","A","2012",,"M"
"DNK","TEACHER","SRY_LT30","PC","A","2013",,"M"
"DNK","TEACHER","SRY_LT30","PC","A","2014",9.492,
"DNK","TEACHER","SRY_LT30","PC","A","2015",,"M"
"DNK","TEACHER","SRY_LT30","PC","A","2016",,"M"
"DNK","TEACHER","SRY_LT30","PC","A","2017",,"M"
"DNK","TEACHER","TRY_50_OVER","PC","A","2005",,"M"
"DNK","TEACHER","TRY_50_OVER","PC","A","2010",,"M"
"DNK","TEACHER","TRY_50_OVER","PC","A","2011",,"M"
"DNK","TEACHER","TRY_50_OVER","PC","A","2012",,"M"
"DNK","TEACHER","TRY_50_OVER","PC","A","2013",,"M"
"DNK","TEACHER","TRY_50_OVER","PC","A","2014",41.48,
"DNK","TEACHER","TRY_50_OVER","PC","A","2015",,"M"
"DNK","TEACHER","TRY_50_OVER","PC","A","2016",,"M"
"DNK","TEACHER","TRY_50_OVER","PC","A","2017",,"M"
"DNK","TEACHER","TRY_LT30","PC","A","2005",,"M"
"DNK","TEACHER","TRY_LT30","PC","A","2010",,"M"
"DNK","TEACHER","TRY_LT30","PC","A","2011",,"M"
"DNK","TEACHER","TRY_LT30","PC","A","2012",,"M"
"DNK","TEACHER","TRY_LT30","PC","A","2013",,"M"
"DNK","TEACHER","TRY_LT30","PC","A","2014",5.524,
"DNK","TEACHER","TRY_LT30","PC","A","2015",,"M"
"DNK","TEACHER","TRY_LT30","PC","A","2016",,"M"
"DNK","TEACHER","TRY_LT30","PC","A","2017",,"M"
"FIN","TEACHER","PRY_50_OVER","PC","A","2005",25.089,
"FIN","TEACHER","PRY_50_OVER","PC","A","2010",28.574,
"FIN","TEACHER","PRY_50_OVER","PC","A","2011",28.875,
"FIN","TEACHER","PRY_50_OVER","PC","A","2012",28.865,
"FIN","TEACHER","PRY_50_OVER","PC","A","2013",29.85,
"FIN","TEACHER","PRY_50_OVER","PC","A","2014",30.222,
"FIN","TEACHER","PRY_50_OVER","PC","A","2015",31.094,
"FIN","TEACHER","PRY_50_OVER","PC","A","2016",31.042,
"FIN","TEACHER","PRY_50_OVER","PC","A","2017",31.987,
"FIN","TEACHER","PRY_LT30","PC","A","2005",13.354,
"FIN","TEACHER","PRY_LT30","PC","A","2010",10.01,
"FIN","TEACHER","PRY_LT30","PC","A","2011",9.359,
"FIN","TEACHER","PRY_LT30","PC","A","2012",8.751,
"FIN","TEACHER","PRY_LT30","PC","A","2013",8.954,
"FIN","TEACHER","PRY_LT30","PC","A","2014",8.876,
"FIN","TEACHER","PRY_LT30","PC","A","2015",8.279,
"FIN","TEACHER","PRY_LT30","PC","A","2016",8.39,
"FIN","TEACHER","PRY_LT30","PC","A","2017",8.223,
"FIN","TEACHER","SRY_50_OVER","PC","A","2005",36.913,
"FIN","TEACHER","SRY_50_OVER","PC","A","2010",36.658,
"FIN","TEACHER","SRY_50_OVER","PC","A","2011",36.714,
"FIN","TEACHER","SRY_50_OVER","PC","A","2012",37.025,
"FIN","TEACHER","SRY_50_OVER","PC","A","2013",37.24,
"FIN","TEACHER","SRY_50_OVER","PC","A","2014",38.014,
"FIN","TEACHER","SRY_50_OVER","PC","A","2015",39.073,
"FIN","TEACHER","SRY_50_OVER","PC","A","2016",39.887,
"FIN","TEACHER","SRY_50_OVER","PC","A","2017",40.064,
"FIN","TEACHER","SRY_LT30","PC","A","2005",7.999,
"FIN","TEACHER","SRY_LT30","PC","A","2010",7.907,
"FIN","TEACHER","SRY_LT30","PC","A","2011",7.628,
"FIN","TEACHER","SRY_LT30","PC","A","2012",7.225,
"FIN","TEACHER","SRY_LT30","PC","A","2013",6.609,
"FIN","TEACHER","SRY_LT30","PC","A","2014",6.47,
"FIN","TEACHER","SRY_LT30","PC","A","2015",5.903,
"FIN","TEACHER","SRY_LT30","PC","A","2016",5.45,
"FIN","TEACHER","SRY_LT30","PC","A","2017",5.508,
"FIN","TEACHER","TRY_50_OVER","PC","A","2005",34.768,
"FIN","TEACHER","TRY_50_OVER","PC","A","2010",46.711,
"FIN","TEACHER","TRY_50_OVER","PC","A","2011",44.308,
"FIN","TEACHER","TRY_50_OVER","PC","A","2012",45.775,
"FIN","TEACHER","TRY_50_OVER","PC","A","2013",45.87,
"FIN","TEACHER","TRY_50_OVER","PC","A","2014",47.149,
"FIN","TEACHER","TRY_50_OVER","PC","A","2015",48.897,
"FIN","TEACHER","TRY_50_OVER","PC","A","2016",47.645,
"FIN","TEACHER","TRY_50_OVER","PC","A","2017",48.305,
"FIN","TEACHER","TRY_LT30","PC","A","2005",13.332,
"FIN","TEACHER","TRY_LT30","PC","A","2010",4.723,
"FIN","TEACHER","TRY_LT30","PC","A","2011",8.962,
"FIN","TEACHER","TRY_LT30","PC","A","2012",7.343,
"FIN","TEACHER","TRY_LT30","PC","A","2013",8.186,
"FIN","TEACHER","TRY_LT30","PC","A","2014",7.502,
"FIN","TEACHER","TRY_LT30","PC","A","2015",6.404,
"FIN","TEACHER","TRY_LT30","PC","A","2016",6.719,
"FIN","TEACHER","TRY_LT30","PC","A","2017",6.882,
"FRA","TEACHER","PRY_50_OVER","PC","A","2005",22.186,
"FRA","TEACHER","PRY_50_OVER","PC","A","2010",22.292,
"FRA","TEACHER","PRY_50_OVER","PC","A","2011",22.624,
"FRA","TEACHER","PRY_50_OVER","PC","A","2012",20.439,
"FRA","TEACHER","PRY_50_OVER","PC","A","2013",24.5,
"FRA","TEACHER","PRY_50_OVER","PC","A","2014",25.567,
"FRA","TEACHER","PRY_50_OVER","PC","A","2015",25.986,
"FRA","TEACHER","PRY_50_OVER","PC","A","2016",21.029,
"FRA","TEACHER","PRY_50_OVER","PC","A","2017",21.613,
"FRA","TEACHER","PRY_LT30","PC","A","2005",16.242,
"FRA","TEACHER","PRY_LT30","PC","A","2010",12.981,
"FRA","TEACHER","PRY_LT30","PC","A","2011",11.348,
"FRA","TEACHER","PRY_LT30","PC","A","2012",12.989,
"FRA","TEACHER","PRY_LT30","PC","A","2013",8.3,
"FRA","TEACHER","PRY_LT30","PC","A","2014",7.215,
"FRA","TEACHER","PRY_LT30","PC","A","2015",7.81,
"FRA","TEACHER","PRY_LT30","PC","A","2016",12.412,
"FRA","TEACHER","PRY_LT30","PC","A","2017",12.044,
"FRA","TEACHER","SRY_50_OVER","PC","A","2005",35.151,
"FRA","TEACHER","SRY_50_OVER","PC","A","2010",32.325,
"FRA","TEACHER","SRY_50_OVER","PC","A","2011",31.791,
"FRA","TEACHER","SRY_50_OVER","PC","A","2012",32.825,
"FRA","TEACHER","SRY_50_OVER","PC","A","2013",32.539,
"FRA","TEACHER","SRY_50_OVER","PC","A","2014",32.099,
"FRA","TEACHER","SRY_50_OVER","PC","A","2015",31.468,
"FRA","TEACHER","SRY_50_OVER","PC","A","2016",30.593,
"FRA","TEACHER","SRY_50_OVER","PC","A","2017",30.985,
"FRA","TEACHER","SRY_LT30","PC","A","2005",11.747,
"FRA","TEACHER","SRY_LT30","PC","A","2010",8.169,
"FRA","TEACHER","SRY_LT30","PC","A","2011",7.387,
"FRA","TEACHER","SRY_LT30","PC","A","2012",6.849,
"FRA","TEACHER","SRY_LT30","PC","A","2013",6.192,
"FRA","TEACHER","SRY_LT30","PC","A","2014",6.067,
"FRA","TEACHER","SRY_LT30","PC","A","2015",7.008,
"FRA","TEACHER","SRY_LT30","PC","A","2016",9.306,
"FRA","TEACHER","SRY_LT30","PC","A","2017",9.988,
"FRA","TEACHER","TRY_50_OVER","PC","A","2005",38.86,
"FRA","TEACHER","TRY_50_OVER","PC","A","2010",40.078,
"FRA","TEACHER","TRY_50_OVER","PC","A","2011",40.689,
"FRA","TEACHER","TRY_50_OVER","PC","A","2012",40.614,
"FRA","TEACHER","TRY_50_OVER","PC","A","2013",40.272,
"FRA","TEACHER","TRY_50_OVER","PC","A","2014",37.45,
"FRA","TEACHER","TRY_50_OVER","PC","A","2015",38.871,
"FRA","TEACHER","TRY_50_OVER","PC","A","2016",36.16,
"FRA","TEACHER","TRY_50_OVER","PC","A","2017",37.421,
"FRA","TEACHER","TRY_LT30","PC","A","2005",8.761,
"FRA","TEACHER","TRY_LT30","PC","A","2010",3.584,
"FRA","TEACHER","TRY_LT30","PC","A","2011",2.489,
"FRA","TEACHER","TRY_LT30","PC","A","2012",2.485,
"FRA","TEACHER","TRY_LT30","PC","A","2013",1.86,
"FRA","TEACHER","TRY_LT30","PC","A","2014",4.007,
"FRA","TEACHER","TRY_LT30","PC","A","2015",3.277,
"FRA","TEACHER","TRY_LT30","PC","A","2016",4.004,
"FRA","TEACHER","TRY_LT30","PC","A","2017",3.998,
"DEU","TEACHER","PRY_50_OVER","PC","A","2005",50.534,
"DEU","TEACHER","PRY_50_OVER","PC","A","2010",47.68,
"DEU","TEACHER","PRY_50_OVER","PC","A","2011",47.314,
"DEU","TEACHER","PRY_50_OVER","PC","A","2012",46.219,
"DEU","TEACHER","PRY_50_OVER","PC","A","2013",44.694,
"DEU","TEACHER","PRY_50_OVER","PC","A","2014",42.203,
"DEU","TEACHER","PRY_50_OVER","PC","A","2015",40.792,
"DEU","TEACHER","PRY_50_OVER","PC","A","2016",39.132,
"DEU","TEACHER","PRY_50_OVER","PC","A","2017",37.81,
"DEU","TEACHER","PRY_LT30","PC","A","2005",5.783,
"DEU","TEACHER","PRY_LT30","PC","A","2010",7.181,
"DEU","TEACHER","PRY_LT30","PC","A","2011",7.059,
"DEU","TEACHER","PRY_LT30","PC","A","2012",7.118,
"DEU","TEACHER","PRY_LT30","PC","A","2013",7.392,
"DEU","TEACHER","PRY_LT30","PC","A","2014",8.23,
"DEU","TEACHER","PRY_LT30","PC","A","2015",8.167,
"DEU","TEACHER","PRY_LT30","PC","A","2016",8.19,
"DEU","TEACHER","PRY_LT30","PC","A","2017",8.67,
"DEU","TEACHER","SRY_50_OVER","PC","A","2005",52.652,
"DEU","TEACHER","SRY_50_OVER","PC","A","2010",52.481,
"DEU","TEACHER","SRY_50_OVER","PC","A","2011",51.243,
"DEU","TEACHER","SRY_50_OVER","PC","A","2012",50.055,
"DEU","TEACHER","SRY_50_OVER","PC","A","2013",48.529,
