country,sex,Total,5-9 (age bands),10-14 (age bands),15-19 (age bands),20-24 (age bands),25-29 (age bands),30-34 (age bands),35-39 (age bands),40-44 (age bands),45-49 (age bands),50-54 (age bands),55-59 (age bands),60-64 (age bands),65+ (age bands)
Ethiopia,Total (Sex),0.798,NA,0.643,0.722,0.853,0.908,0.924,0.929,0.915,0.907,0.864,0.833,0.744,0.535
Faeroe Islands,Total (Sex),0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falkland Islands (Malvinas),Total (Sex),0.99,NA,NA,0.96,0.97,1,0.99,0.99,0.99,0.98,1,0.99,0.99,1
Fiji,Total (Sex),0.642,NA,0.095,0.235,0.588,0.671,0.678,0.68,0.671,0.649,0.594,0.508,0.382,0.331
Finland,Total (Sex),0.591,NA,NA,0.324,0.698,0.825,0.832,0.87,0.899,0.904,0.875,0.792,0.47,0.052
France,Total (Sex),0.565,NA,NA,0.147,0.602,0.865,0.885,0.898,0.899,0.895,0.858,0.73,0.247,0.023
French Guiana,Total (Sex),0.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Polynesia,Total (Sex),0.564,NA,NA,0.194,0.662,0.774,0.782,0.774,0.759,0.741,0.62,0.444,0.185,0.078
Gabon,Total (Sex),0.487,NA,NA,0.073,0.301,0.562,0.756,0.799,0.784,0.757,0.685,0.517,0.293,0.219
Georgia,Total (Sex),0.662,NA,NA,0.172,0.584,0.75,0.788,0.81,0.86,0.86,0.827,0.806,0.734,0.422
Germany,Total (Sex),0.603,NA,NA,0.29,0.696,0.831,0.871,0.879,0.9,0.897,0.869,0.802,0.533,0.055
Ghana,Total (Sex),0.757,0.193,0.188,0.465,0.643,0.852,0.913,0.932,0.945,0.921,0.914,0.853,0.795,0.578
Gibraltar,Total (Sex),0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,Total (Sex),0.52,NA,NA,0.076,0.504,0.858,0.889,0.875,0.863,0.826,0.718,0.554,0.286,0.027
Guadeloupe,Total (Sex),0.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,Total (Sex),0.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,Total (Sex),0.522,0.021,0.132,0.396,0.65,0.695,0.69,0.735,0.715,0.69,0.681,0.623,0.573,0.368
Guinea,Total (Sex),0.678,NA,0.365,0.579,0.692,0.794,0.834,0.834,0.872,0.866,0.83,0.819,0.716,0.503
Guyana,Total (Sex),0.362,NA,NA,0.349,0.633,0.651,0.659,0.669,0.676,0.664,0.627,0.519,0.339,0.211
Haiti,Total (Sex),0.396,NA,NA,0.21,0.527,0.749,0.835,0.866,0.876,0.872,0.846,0.8,0.72,0.591
Honduras,Total (Sex),0.537,NA,0.137,0.419,0.639,0.702,0.732,0.746,0.762,0.741,0.722,0.681,0.611,0.404
"Hong Kong, China",Total (Sex),0.612,NA,NA,0.112,0.634,0.897,0.877,0.841,0.832,0.819,0.772,0.639,0.396,0.08
Hungary,Total (Sex),0.525,NA,NA,0.048,0.465,0.782,0.811,0.842,0.879,0.866,0.811,0.635,0.171,0.02
Iceland,Total (Sex),0.807,NA,NA,0.74,0.811,0.858,0.863,0.889,0.911,0.903,0.909,0.859,0.815,0.351
India,Total (Sex),0.52,0.014,0.028,0.235,0.509,0.639,0.672,0.698,0.716,0.717,0.677,0.623,0.494,0.289
Indonesia,Total (Sex),0.668,NA,NA,0.334,0.677,0.75,0.754,0.772,0.801,0.808,0.793,0.713,0.626,0.373
"Iran, Islamic Rep. of",Total (Sex),0.376,NA,0.023,0.156,0.422,0.552,0.564,0.561,0.541,0.504,0.419,0.34,0.279,0.155
Iraq,Total (Sex),0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,Total (Sex),0.602,NA,NA,0.161,0.648,0.809,0.835,0.829,0.802,0.791,0.765,0.673,0.462,0.095
Isle of Man,Total (Sex),0.633,NA,NA,0.371,0.754,0.889,0.887,0.893,0.901,0.898,0.863,0.757,0.502,0.102
Israel,Total (Sex),0.637,NA,NA,0.298,0.711,0.783,0.836,0.841,0.832,0.82,0.784,0.743,0.603,0.18
Italy,Total (Sex),0.49,NA,NA,0.073,0.454,0.678,0.778,0.809,0.798,0.787,0.751,0.623,0.273,0.035
Jamaica,Total (Sex),0.619,NA,NA,0.098,0.632,0.808,NA,0.844,NA,0.834,NA,0.685,NA,0.286
Japan,Total (Sex),0.593,NA,NA,0.155,0.69,0.864,0.832,0.832,0.847,0.862,0.851,0.795,0.614,0.205
Jersey,Total (Sex),0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,Total (Sex),0.371,NA,NA,0.087,0.406,0.577,0.637,0.604,0.437,0.494,0.401,0.186,0.176,0.048
Kazakhstan,Total (Sex),0.713,NA,NA,0.136,0.654,0.927,0.945,0.943,0.954,0.939,0.926,0.805,0.365,0.042
Kiribati,Total (Sex),0.593,NA,NA,0.308,NA,NA,NA,NA,NA,NA,0.498,NA,NA,NA
Republic of Korea,Total (Sex),0.615,NA,NA,0.077,0.476,0.741,0.756,0.751,0.792,0.809,0.776,0.707,0.585,0.314
Kosovo,Total (Sex),0.406,NA,NA,0.068,0.381,0.459,0.474,0.46,0.481,0.466,0.421,0.323,0.239,NA
Kuwait,Total (Sex),0.771,NA,NA,0.062,0.61,0.839,0.858,0.857,0.825,0.768,0.667,0.556,0.382,0.164
Kyrgyzstan,Total (Sex),0.625,NA,NA,0.292,0.636,0.751,0.778,0.825,0.818,0.809,0.746,0.592,0.326,0.092
Lao People's Democratic Republic,Total (Sex),0.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Total (Sex),0.594,NA,NA,0.092,0.606,0.86,0.892,0.883,0.894,0.887,0.845,0.797,0.41,0.076
Lebanon,Total (Sex),0.327,NA,NA,0.161,0.452,0.65,0.635,0.559,0.523,0.54,0.483,0.455,0.356,0.236
Lesotho,Total (Sex),0.559,NA,0.049,0.298,0.622,0.806,0.842,0.843,0.842,0.832,0.826,0.742,0.718,0.44
Liberia,Total (Sex),0.59,NA,NA,0.247,0.428,0.628,0.731,0.762,0.794,0.809,0.761,0.701,0.617,0.486
Liechtenstein,Total (Sex),0.619,NA,NA,0.385,0.654,0.784,0.841,0.839,0.838,0.851,0.832,0.749,0.42,0.108
Lithuania,Total (Sex),0.58,NA,NA,0.051,0.541,0.893,0.913,0.909,0.911,0.898,0.853,0.77,0.408,0.053
Luxembourg,Total (Sex),0.594,NA,NA,0.113,0.41,0.832,0.918,0.908,0.892,0.876,0.819,0.568,0.247,0.039
"Macau, China",Total (Sex),0.727,NA,0.014,0.127,0.693,0.922,0.932,0.931,0.914,0.871,0.81,0.674,0.49,0.139
TFYR of Macedonia,Total (Sex),0.558,NA,NA,0.127,0.522,0.772,0.842,0.809,0.798,0.787,0.737,0.645,0.33,0.025
Madagascar,Total (Sex),0.749,0.137,0.303,0.693,0.866,0.932,0.955,0.964,0.973,0.958,0.942,0.922,0.833,0.622
Malaysia,Total (Sex),0.67,NA,NA,0.181,0.633,0.836,0.839,0.828,0.808,0.789,0.742,0.593,0.414,NA
Maldives,Total (Sex),0.431,NA,0.013,0.352,0.73,0.748,0.754,0.754,0.753,0.762,0.742,0.715,0.629,0.419
Mali,Total (Sex),0.601,NA,0.379,0.547,0.584,0.66,0.705,0.756,0.736,0.752,0.803,0.734,0.62,0.412
Malta,Total (Sex),0.531,NA,NA,0.261,0.754,0.883,0.835,0.817,0.759,0.731,0.646,0.558,0.207,0.042
Marshall Islands,Total (Sex),0.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martinique,Total (Sex),0.531,NA,NA,0.065,0.511,0.771,0.804,0.787,0.834,0.819,0.746,0.562,0.245,0.028
Mauritania,Total (Sex),0.443,NA,0.22,0.165,0.343,0.501,0.548,0.6,0.603,0.622,0.572,0.583,0.456,NA
Mauritius,Total (Sex),0.597,NA,0.027,0.192,0.643,0.8,0.785,0.787,0.791,0.75,0.672,0.603,0.309,0.092
Mexico,Total (Sex),0.605,NA,0.13,0.329,0.618,0.738,0.751,0.754,0.756,0.732,0.694,0.625,0.496,0.269
Republic of Moldova,Total (Sex),0.414,NA,NA,0.091,0.294,0.471,0.522,0.602,0.607,0.613,0.616,0.505,0.282,0.069
Monaco,Total (Sex),0.397,NA,NA,0.034,0.322,0.745,0.782,0.764,0.746,0.726,0.651,0.546,0.297,0.122
Mongolia,Total (Sex),0.619,NA,0.001,0.137,0.532,0.78,0.807,0.841,0.851,0.84,0.721,0.485,0.245,0.094
Montenegro,Total (Sex),0.501,NA,NA,0.134,0.527,0.704,0.786,0.843,0.842,0.731,0.673,0.423,0.172,0.048
Morocco,Total (Sex),0.485,NA,0.021,0.219,0.473,0.602,0.613,0.612,0.616,0.605,0.588,0.537,0.349,0.184
Mozambique,Total (Sex),0.798,NA,NA,0.646,0.803,0.848,0.854,0.878,0.862,0.854,0.844,0.817,0.813,0.719
Namibia,Total (Sex),0.709,NA,NA,0.201,0.71,0.901,0.93,0.927,0.932,0.893,0.836,0.804,0.561,0.421
Nauru,Total (Sex),0.64,NA,NA,0.678,0.84,0.862,0.843,0.863,0.84,0.785,0.689,0.632,0.356,0.175
Nepal,Total (Sex),0.811,NA,0.288,0.619,0.783,0.862,0.916,0.947,0.936,0.928,0.897,0.875,0.657,0.573
Netherlands,Total (Sex),0.652,NA,NA,0.609,0.786,0.88,0.892,0.889,0.876,0.872,0.845,0.767,0.506,0.069
Netherlands Antilles,Total (Sex),0.579,NA,NA,0.12,0.563,0.782,0.89,0.874,0.863,0.862,0.82,0.7,0.313,0.081
New Caledonia,Total (Sex),0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,Total (Sex),0.684,NA,NA,0.436,0.742,0.828,0.83,0.835,0.856,0.868,0.875,0.834,0.709,0.206
Nicaragua,Total (Sex),0.757,NA,0.114,0.354,0.622,0.714,0.773,0.755,0.76,0.753,0.691,0.655,0.511,0.437
Niger,Total (Sex),0.368,NA,0.377,0.502,0.586,0.646,0.673,0.721,0.735,0.702,0.701,0.628,0.645,0.578
Nigeria,Total (Sex),0.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niue,Total (Sex),0.532,NA,NA,0.294,0.89,0.904,0.915,0.874,0.973,0.903,0.88,0.854,0.742,0.473
Norfolk Island,Total (Sex),0.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,Total (Sex),0.723,NA,NA,0.301,0.86,0.916,0.898,0.906,0.814,0.863,0.786,0.658,0.599,0.565
Norway,Total (Sex),0.711,NA,NA,0.408,0.725,0.833,0.87,0.886,0.885,0.869,0.85,0.795,0.637,0.184
Oman,Total (Sex),0.497,NA,0.001,0,0.301,0.686,0.709,0.8,0.575,0.659,0.553,0.521,0.308,0.002
Pakistan,Total (Sex),0.457,NA,0.114,0.358,0.531,0.578,0.602,0.625,0.635,0.64,0.647,0.625,0.497,0.275
Palau,Total (Sex),0.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,Total (Sex),0.641,NA,NA,0.292,0.693,0.79,0.824,0.808,0.812,0.798,0.732,0.651,0.352,0.185
Papua New Guinea,Total (Sex),0.465,NA,0.25,0.497,0.703,0.783,0.814,0.831,0.833,0.833,0.801,0.773,0.696,0.635
Paraguay,Total (Sex),0.626,NA,0.116,0.437,0.763,0.842,0.863,0.855,0.846,0.831,0.796,0.715,0.609,0.368
Peru,Total (Sex),0.739,NA,0.323,0.507,0.725,0.838,0.867,0.877,0.881,0.874,0.841,0.778,0.703,0.457
Philippines,Total (Sex),0.641,NA,NA,0.313,0.648,0.737,0.747,0.779,0.794,0.803,0.776,0.73,0.61,0.378
Poland,Total (Sex),0.559,NA,NA,0.067,0.557,0.844,0.86,0.878,0.878,0.844,0.769,0.601,0.259,0.047
Portugal,Total (Sex),0.593,NA,NA,0.123,0.57,0.87,0.924,0.911,0.892,0.872,0.823,0.669,0.41,0.134
Puerto Rico,Total (Sex),0.304,NA,NA,0.128,0.486,0.715,0.724,0.706,0.648,0.601,0.513,0.331,0.216,0.074
Qatar,Total (Sex),0.872,NA,NA,0.186,0.847,0.934,0.934,0.917,0.915,0.901,0.855,0.866,0.723,0.282
Réunion,Total (Sex),0.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,Total (Sex),0.551,NA,0,0.112,0.458,0.758,0.809,0.83,0.834,0.82,0.731,0.553,0.293,0.113
Russian Federation,Total (Sex),0.685,NA,NA,0.09,0.601,0.873,0.892,0.915,0.924,0.915,0.856,0.639,0.31,0.113
Rwanda,Total (Sex),0.736,NA,NA,0.358,0.673,0.849,0.889,0.895,0.894,0.888,0.87,0.838,0.765,NA
Saint Lucia,Total (Sex),0.692,NA,NA,0.369,0.869,0.878,0.826,0.88,0.816,0.81,0.722,0.523,0.405,0.283
Samoa,Total (Sex),0.322,NA,NA,0.115,0.36,0.419,0.42,0.416,0.421,0.428,0.372,0.292,0.246,0.126
San Marino,Total (Sex),0.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sao Tome and Principe ,Total (Sex),0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,Total (Sex),0.54,NA,NA,0.027,0.334,0.655,0.726,0.73,0.721,0.699,0.622,0.522,0.357,0.179
Senegal,Total (Sex),0.55,NA,0.367,0.351,0.478,0.605,0.68,0.718,0.743,0.742,0.71,0.653,0.488,0.259
Serbia,Total (Sex),0.484,NA,NA,0.109,0.449,0.756,0.824,0.873,0.842,0.818,0.743,0.541,0.273,0.076
Serbia and Montenegro,Total (Sex),NA,NA,NA,0.386,NA,0.845,NA,0.886,NA,0.822,NA,0.44,NA,0.207
Seychelles,Total (Sex),0.65,NA,NA,0.285,0.79,0.836,0.831,0.846,0.845,0.836,0.791,0.611,0.427,0.064
Sierra Leone,Total (Sex),0.605,NA,0.066,0.289,0.446,0.577,0.855,0.876,0.882,0.884,0.861,0.838,0.779,0.394
Singapore,Total (Sex),0.667,NA,NA,0.118,0.617,0.885,0.901,0.88,0.857,0.845,0.8,0.732,0.597,0.238
Slovakia,Total (Sex),0.593,NA,NA,0.061,0.509,0.822,0.832,0.888,0.922,0.909,0.871,0.735,0.218,0.017
Slovenia,Total (Sex),0.572,NA,NA,0.123,0.515,0.856,0.931,0.939,0.939,0.916,0.854,0.514,0.177,0.05
Solomon Islands,Total (Sex),0.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,Total (Sex),0.568,NA,NA,0.057,0.464,0.702,0.756,0.777,0.777,0.731,0.662,0.544,0.268,NA
Spain,Total (Sex),0.594,NA,NA,0.133,0.598,0.87,0.908,0.904,0.881,0.855,0.802,0.684,0.377,0.018
Sri Lanka,Total (Sex),0.542,NA,0.007,0.174,0.558,0.66,0.69,0.673,0.538,0.682,0.644,0.574,0.427,0.209
"Sudan, The Republic of",Total (Sex),0.48,NA,NA,0.3,NA,0.54,NA,0.61,NA,0.64,NA,0.59,NA,0.38
Suriname,Total (Sex),0.62,NA,NA,0.094,0.518,0.749,0.825,0.832,0.767,0.759,0.713,0.641,0.184,NA
Sweden,Total (Sex),0.715,NA,NA,0.332,0.723,0.856,0.903,0.936,0.935,0.923,0.9,0.86,0.69,0.148
Switzerland,Total (Sex),0.683,NA,NA,0.56,0.78,0.888,0.903,0.899,0.905,0.912,0.894,0.849,0.615,0.108
Syrian Arab Republic,Total (Sex),0.434,NA,0.076,0.222,0.453,0.546,0.563,0.566,0.563,0.541,0.496,0.448,0.295,0.201
"Taiwan, China",Total (Sex),0.584,NA,NA,0.081,0.527,0.925,0.867,0.841,0.84,0.796,0.683,0.532,0.334,0.083
Tajikistan,Total (Sex),0.301,NA,NA,0.58,0.51,0.697,0.771,0.795,0.825,0.735,0.722,0.491,0.486,0.243
Tanzania (Tanganyika),Total (Sex),NA,NA,0.483,0.733,0.922,0.949,0.966,0.966,0.964,0.963,0.945,0.943,0.885,0.798
United Republic of Tanzania,Total (Sex),0.78,NA,NA,0.581,0.731,0.842,0.902,0.902,0.914,0.925,0.893,0.87,0.856,0.616
Thailand,Total (Sex),0.716,NA,0.079,0.228,0.672,0.868,0.884,0.917,0.908,0.891,0.849,0.795,0.604,0.272
Timor-Leste,Total (Sex),0.418,NA,NA,0.059,0.247,0.484,0.588,0.625,0.661,0.667,0.611,0.64,0.436,0.265
Tonga,Total (Sex),0.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trinidad and Tobago,Total (Sex),0.613,NA,NA,0.184,0.727,0.833,0.839,0.869,0.844,0.797,0.74,0.669,0.305,0.07
Tunisia,Total (Sex),0.474,NA,NA,0.224,0.468,0.676,0.661,0.625,0.611,0.585,0.526,0.408,0.188,0.086
Turkey,Total (Sex),0.503,NA,0.122,0.257,0.541,0.659,0.676,0.683,0.674,0.613,0.48,0.37,0.278,0.124
Turks and Caicos Islands,Total (Sex),0.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuvalu,Total (Sex),0.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uganda,Total (Sex),0.527,NA,0.194,0.497,0.847,0.936,0.964,0.962,0.971,0.952,0.933,0.904,0.867,0.639
Ukraine,Total (Sex),0.65,NA,NA,0.115,0.601,0.808,0.839,0.866,0.87,0.846,0.785,0.543,0.28,0.18
United Arab Emirates,Total (Sex),0.724,NA,NA,0.082,0.664,0.834,0.852,0.833,0.814,0.779,0.747,0.692,0.502,0.233
United Kingdom of Great Britain and Northern Ireland,Total (Sex),0.628,NA,NA,0.382,0.761,0.849,0.862,0.859,0.864,0.868,0.846,0.76,0.487,0.098
United States,Total (Sex),0.629,NA,NA,0.34,0.708,0.805,0.819,0.821,0.822,0.811,0.782,0.714,0.558,0.186
Uruguay,Total (Sex),0.636,NA,NA,0.272,0.767,0.865,0.883,0.888,0.887,0.865,0.835,0.753,0.528,0.154
Uzbekistan,Total (Sex),0.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanuatu,Total (Sex),0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Venezuela (Bolivarian Republic of),Total (Sex),0.643,NA,0.034,0.237,0.586,0.781,0.83,0.846,0.844,0.817,0.765,0.652,0.51,0.262
Viet Nam,Total (Sex),0.775,NA,NA,0.39,0.789,0.93,0.944,0.948,0.946,0.933,0.894,0.806,0.651,0.289
West Bank and Gaza Strip,Total (Sex),0.365,NA,0.017,0.167,0.436,0.597,0.599,0.594,0.585,0.55,0.499,0.415,0.201,0.088
Yemen,Total (Sex),0.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zambia,Total (Sex),0.746,NA,NA,0.448,0.724,0.85,0.887,0.907,0.921,0.906,0.903,0.833,0.818,0.611
Zimbabwe,Total (Sex),0.668,NA,NA,0.322,0.672,0.772,0.809,0.831,0.845,0.826,0.78,0.763,0.7,0.474
Albania,Male (Sex),0.647,NA,NA,0.203,0.618,0.841,0.903,0.913,0.934,0.914,0.874,0.828,0.622,0.123
Algeria,Male (Sex),0.695,NA,NA,0.226,0.655,0.9,0.94,0.936,0.946,0.938,0.849,0.644,0.17,0.101
American Samoa,Male (Sex),0.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,Male (Sex),0.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anguilla,Male (Sex),NA,NA,NA,0.572,0.478,0.941,0.943,0.939,0.947,0.925,0.929,0.864,0.783,NA
Antigua and Barbuda,Male (Sex),0.547,NA,NA,0.865,0.948,0.953,0.959,0.944,0.896,0.918,0.866,0.689,0.481,NA
Argentina,Male (Sex),0.75,0.757,NA,0.235,0.722,0.018,0.294,0.747,0.918,0.957,0.958,0.973,0.946,0.914
Armenia,Male (Sex),0.91,NA,NA,0.873,0.395,0.847,0.908,0.501,0.347,0.728,0.122,0.907,0.867,0.902
Aruba,Male (Sex),0.006,NA,NA,0.774,0.892,0.951,0.939,0.922,0.916,0.898,NA,0.524,0.13,0.425
Australia,Male (Sex),0.169,NA,NA,0.714,0.517,0.816,0.898,0.924,0.914,0.906,0.893,0.872,0.808,0.625
