"Region, subregion, country or area *",Reference date (as of 1 July),age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100
Botswana,2020,134.23,132.15,121.89,111.44,100.95,100.08,97.48,94.76,80.00,59.70,42.81,37.98,35.43,26.60,17.07,11.56,5.52,2.22,0.59,0.06,0.00
Eswatini,2020,71.16,70.98,73.68,63.87,54.06,48.32,44.47,44.74,33.95,22.42,12.97,10.00,9.66,9.48,8.47,6.15,3.73,1.47,0.32,0.04,0.00
Lesotho,2020,125.89,112.60,106.48,108.47,101.14,94.49,84.14,71.77,56.43,45.39,40.38,37.37,32.68,25.36,18.20,12.19,7.54,3.73,0.94,0.11,0.01
Namibia,2020,167.74,159.30,141.05,123.06,123.67,116.53,101.05,81.96,67.46,56.04,44.96,38.30,30.33,22.40,14.98,10.74,6.35,2.62,0.65,0.06,0.00
South Africa,2020,2845.95,2877.31,2721.34,2440.83,2447.27,2588.76,2664.08,2377.61,1917.27,1655.02,1401.33,1183.83,990.31,784.77,535.90,367.67,202.85,75.49,14.02,1.03,0.04
Benin,2020,939.81,832.23,733.77,637.60,552.57,470.97,393.48,328.39,273.66,226.73,187.14,150.21,115.77,86.38,64.58,43.47,21.49,8.18,2.15,0.36,0.03
Burkina Faso,2020,1705.60,1512.78,1336.47,1130.96,944.92,786.30,658.05,556.51,454.45,359.96,293.83,232.52,180.75,132.07,89.43,53.38,22.99,6.44,1.06,0.09,0.00
Cabo Verde,2020,25.62,26.19,25.29,24.38,22.58,25.21,24.80,21.57,16.90,13.50,12.81,12.22,8.74,6.48,3.15,2.97,2.58,1.45,0.41,0.04,0.00
Côte d'Ivoire,2020,2052.83,1800.90,1593.60,1452.43,1274.26,1065.93,873.97,715.06,584.50,451.42,350.58,280.80,221.47,162.23,99.25,61.41,28.22,7.95,1.04,0.05,0.00
Gambia,2020,202.72,174.65,148.71,128.30,115.03,102.08,81.89,63.97,51.23,39.83,34.89,26.43,16.95,12.88,9.73,5.66,2.40,0.67,0.11,0.01,0.00
Ghana,2020,2040.33,1903.36,1703.42,1533.92,1397.89,1239.69,1107.55,945.29,803.39,699.21,595.68,479.82,345.89,223.97,160.41,88.62,39.68,12.36,2.25,0.21,0.01
Guinea,2020,1042.82,926.61,837.61,748.23,645.27,530.38,429.99,350.78,284.24,232.55,197.28,170.19,142.25,110.72,66.41,40.28,17.99,5.09,0.81,0.06,0.00
Guinea-Bissau,2020,151.17,137.66,120.92,103.61,91.36,82.59,71.91,60.41,46.18,36.07,27.13,22.45,18.90,16.29,9.65,5.74,2.46,0.72,0.10,0.01,0.00
Liberia,2020,362.54,332.30,305.78,271.58,229.25,187.90,166.49,147.00,122.26,99.65,80.32,65.20,51.74,38.91,25.03,17.54,8.60,2.65,0.39,0.02,0.00
Mali,2020,1771.98,1550.62,1356.79,1109.56,879.94,712.30,583.98,499.43,418.62,337.23,255.94,194.01,154.25,122.65,80.12,50.70,20.57,5.89,0.99,0.08,0.00
Mauritania,2020,338.57,304.12,265.02,231.89,205.29,183.45,165.04,141.12,116.61,94.47,76.35,61.04,47.13,33.55,24.20,15.32,7.86,2.90,0.68,0.09,0.01
Niger,2020,2347.10,1951.90,1606.45,1295.35,1023.83,799.64,640.93,539.66,440.51,357.36,295.51,236.45,180.76,132.00,98.72,58.68,24.11,6.46,0.97,0.08,0.00
Nigeria,2020,16561.33,14625.99,12633.39,10758.96,8898.29,7448.24,6430.54,5578.19,4672.88,3771.40,2995.57,2426.33,1892.09,1369.45,900.59,480.36,179.35,41.37,5.23,0.40,0.02
Senegal,2020,1288.93,1192.43,1036.97,874.71,759.60,663.94,579.44,503.11,407.51,329.31,262.09,207.90,163.71,126.45,85.15,54.85,26.92,8.52,1.49,0.13,0.01
Sierra Leone,2020,577.75,532.75,495.36,435.97,375.78,322.91,272.41,226.91,183.26,149.36,120.18,95.49,73.42,55.07,39.02,23.79,11.29,3.95,0.94,0.14,0.01
Togo,2020,608.39,558.50,510.13,443.72,370.59,315.16,283.65,249.50,209.40,168.05,131.10,102.25,78.35,57.84,38.95,21.79,9.11,2.45,0.38,0.03,0.00
Algeria,2020,2467.46,2269.34,1872.11,1425.86,1468.81,1761.87,1850.20,1764.74,1502.81,1220.50,1035.14,870.27,684.04,560.16,364.22,272.08,185.84,90.06,26.90,4.39,0.45
Egypt,2020,6168.60,5976.53,4698.34,4225.35,4105.32,3998.23,3999.18,3512.05,2979.33,2481.36,2143.71,1828.45,1509.51,1120.88,907.75,500.34,291.32,134.93,41.67,7.93,0.79
Libya,2020,303.49,321.80,303.95,274.12,266.43,274.46,292.58,288.14,277.48,236.57,182.18,125.04,85.74,63.78,43.39,32.62,19.71,8.42,2.31,0.34,0.03
Morocco,2020,1618.71,1669.83,1521.63,1451.08,1408.72,1487.26,1444.12,1422.75,1248.72,1116.80,1008.57,916.09,791.20,587.09,341.85,284.03,186.22,73.84,14.03,1.10,0.05
Sudan,2020,3123.26,2855.33,2626.50,2371.79,2058.30,1719.86,1405.37,1230.97,1049.28,873.91,727.80,581.23,455.56,347.67,242.04,150.93,79.47,31.97,8.94,1.62,0.17
Tunisia,2020,489.09,491.58,411.08,378.34,395.18,447.39,478.78,500.67,438.97,373.37,371.64,329.38,275.01,221.59,138.20,97.11,70.65,37.31,10.23,2.12,0.19
Western Sahara,2020,27.93,27.79,24.70,24.07,24.65,26.64,26.43,23.91,20.97,17.29,13.36,10.02,7.92,4.77,2.37,1.28,0.66,0.25,0.07,0.01,0.00
Armenia,2020,97.10,100.23,92.57,79.25,83.57,121.18,140.97,128.45,103.85,89.22,92.85,114.14,112.89,76.73,50.55,26.46,38.22,13.99,6.11,1.01,0.18
Azerbaijan,2020,389.50,400.29,323.99,295.83,341.16,439.13,475.65,413.28,336.55,320.49,331.25,344.76,265.92,168.98,87.42,54.22,55.65,23.04,6.24,1.05,0.09
Bahrain,2020,53.45,51.58,46.82,40.36,38.87,68.56,73.24,54.22,47.01,35.00,29.19,24.93,17.46,8.94,4.82,3.45,2.17,0.75,0.27,0.04,0.01
Cyprus,2020,31.43,32.82,32.84,35.46,43.85,46.45,46.57,46.63,44.92,40.38,38.86,35.54,33.49,28.36,24.22,17.95,13.20,7.20,2.96,0.64,0.08
Georgia,2020,130.09,137.04,120.04,102.21,110.22,131.86,145.59,139.88,135.61,131.43,130.59,151.34,139.56,123.37,92.09,63.53,65.85,25.75,10.27,1.54,0.11
Iraq,2020,2612.36,2542.39,2218.13,2022.77,1858.45,1646.73,1434.79,1214.22,1061.17,896.24,730.59,495.86,363.40,339.98,178.36,134.95,74.91,30.32,7.77,1.20,0.13
Israel,2020,413.20,400.50,358.77,324.76,303.85,279.87,279.30,278.80,273.34,250.51,212.04,194.44,183.87,188.12,154.28,93.79,72.52,51.18,26.03,7.46,0.79
Jordan,2020,515.60,566.16,562.78,515.17,466.02,427.70,384.42,350.11,295.41,257.75,209.13,160.42,111.23,76.81,59.60,43.27,23.44,9.43,2.39,0.31,0.02
Kuwait,2020,141.49,148.01,135.29,100.70,93.73,89.43,139.94,185.93,174.39,160.64,119.19,70.00,48.98,22.92,14.16,6.79,3.52,0.92,0.07,0.01,0.00
Lebanon,2020,277.06,279.49,265.07,284.73,299.03,303.30,282.21,259.00,228.53,202.57,177.16,136.78,115.00,106.76,68.50,41.42,36.25,20.38,5.33,1.01,0.12
Oman,2020,221.75,187.28,149.83,120.87,128.71,176.83,199.14,160.32,116.30,78.15,57.71,40.30,32.77,25.61,16.52,12.84,5.82,3.07,1.73,0.63,0.19
Qatar,2020,65.90,65.78,59.49,47.79,48.14,73.11,94.08,87.08,58.08,41.80,31.07,19.26,10.60,5.94,3.81,1.82,1.27,0.52,0.26,0.08,0.06
Saudi Arabia,2020,1467.63,1467.38,1300.66,1089.82,1105.07,1357.84,1417.03,1332.81,1283.69,969.32,606.77,426.37,286.77,239.33,142.03,99.24,56.04,24.39,8.32,1.83,0.22
State of Palestine,2020,338.40,328.26,289.88,254.25,245.44,229.28,181.68,144.76,121.59,99.53,83.19,65.81,45.05,33.95,24.26,16.07,8.83,3.27,0.82,0.13,0.01
Syrian Arab Republic,2020,939.51,841.47,858.22,771.54,785.16,730.03,749.36,700.33,561.89,428.87,355.61,309.45,242.73,190.51,110.92,83.02,48.88,24.85,6.96,1.17,0.13
Turkey,2020,3210.42,3349.38,3311.14,3332.95,3320.75,3159.47,3176.46,3191.50,3030.87,2776.68,2439.49,2163.51,1865.43,1533.57,1108.61,799.19,521.53,300.44,95.42,14.98,1.14
United Arab Emirates,2020,244.29,251.01,222.42,188.93,228.50,351.16,473.81,406.65,238.11,157.92,120.99,86.04,42.28,19.92,12.07,5.01,2.75,1.61,0.43,0.15,0.02
Yemen,2020,2015.46,1919.84,1740.38,1574.07,1443.11,1388.31,1155.79,902.59,667.21,491.44,409.63,350.04,265.46,196.23,140.73,80.60,40.71,15.04,3.73,0.57,0.05
Kazakhstan,2020,929.75,946.53,779.07,544.57,536.34,733.09,842.51,669.72,602.52,568.80,519.00,576.49,457.86,379.73,201.23,158.53,151.79,45.24,18.04,2.76,0.21
Kyrgyzstan,2020,370.06,375.10,294.24,245.29,252.39,279.56,287.33,220.50,182.48,167.70,155.06,152.94,121.57,82.41,48.80,21.68,23.62,11.64,3.70,0.81,0.05
Tajikistan,2020,659.22,594.21,474.74,395.37,408.36,402.21,394.61,301.82,237.88,209.75,191.87,170.46,128.12,75.46,41.88,20.64,16.93,6.17,1.97,0.24,0.01
Turkmenistan,2020,325.57,331.29,258.87,239.58,228.37,272.22,263.08,219.24,192.43,164.17,146.01,138.41,112.54,77.33,39.61,20.36,20.42,8.52,3.25,0.56,0.06
Uzbekistan,2020,1664.77,1598.17,1424.81,1239.22,1362.65,1548.65,1506.82,1282.19,1066.68,935.52,819.20,796.57,623.40,416.40,195.02,130.01,98.63,44.11,16.22,2.89,0.39
Afghanistan,2020,2765.10,2641.59,2540.45,2251.50,1909.21,1498.59,1179.14,988.22,790.70,627.51,503.17,396.46,307.56,229.22,172.20,91.11,42.49,14.28,3.14,0.41,0.03
Bangladesh,2020,7007.99,7167.47,7381.84,7609.85,7496.76,7268.12,6984.13,6477.37,5671.77,4707.60,4040.07,3221.41,2128.53,1306.84,1150.26,883.53,533.69,265.97,98.95,24.32,3.82
Bhutan,2020,31.39,30.50,32.64,34.13,34.72,35.39,34.55,28.60,22.35,17.92,15.49,12.09,10.14,7.12,5.60,4.20,2.56,1.35,0.57,0.18,0.05
India,2020,55651.09,56104.96,59853.32,59374.71,57638.99,55357.93,53301.21,49466.26,43588.65,38683.68,33673.30,29106.00,24195.86,19092.15,12463.54,8020.96,4657.55,1955.56,555.80,131.22,30.70
Iran (Islamic Republic of),2020,3724.26,3361.59,3032.12,2700.24,2755.07,3404.23,4254.86,4152.34,3220.37,2556.25,2296.89,1850.73,1572.48,1135.91,738.07,435.17,244.77,115.36,29.18,4.40,0.28
Maldives,2020,17.18,17.93,16.17,12.79,14.94,20.05,22.41,19.18,13.34,11.03,9.35,7.84,5.92,3.25,2.10,2.02,1.34,0.56,0.16,0.04,0.01
Nepal,2020,1321.07,1370.35,1457.12,1584.07,1685.23,1529.83,1293.06,1119.71,991.34,826.07,683.96,558.90,440.79,352.43,264.10,187.12,82.65,31.29,8.14,1.10,0.07
Pakistan,2020,13453.56,12273.19,11296.76,10532.90,10030.31,9337.10,8221.16,6853.39,5692.60,4728.05,4054.02,3405.94,2613.08,1801.86,1333.67,913.61,466.97,171.74,36.34,3.81,0.27
Sri Lanka,2020,816.08,833.57,857.10,833.94,752.76,731.64,729.11,785.99,793.75,696.97,677.38,648.37,600.76,493.92,415.18,254.24,130.46,67.93,23.24,3.34,0.19
China,2020,39476.11,40415.04,38912.83,38238.74,40884.30,46466.16,62295.74,48745.95,46984.79,58664.27,61097.36,48782.45,38596.85,37622.98,23524.53,14337.34,9297.79,4738.69,1573.80,358.82,61.92
"China, Hong Kong SAR",2020,174.03,141.05,134.86,129.00,185.45,265.88,308.97,354.22,339.87,330.27,323.68,344.00,296.89,236.06,176.07,91.70,96.42,71.63,40.03,14.25,3.00
"China, Macao SAR",2020,17.57,15.97,11.79,10.88,17.60,26.31,35.97,32.06,22.28,27.79,27.37,28.73,22.44,17.10,10.02,4.80,3.65,2.92,1.51,0.44,0.07
"China, Taiwan Province of China",2020,487.14,500.81,469.06,580.69,720.70,784.47,796.46,962.74,1026.83,886.11,914.16,952.39,863.47,749.36,468.60,330.41,254.04,147.58,66.58,18.32,2.56
Dem. People's Republic of Korea,2020,852.19,822.74,824.29,918.77,947.84,974.41,911.48,884.04,771.60,1077.02,1078.27,759.81,777.63,377.91,460.54,380.07,234.93,90.15,23.10,3.42,0.25
Japan,2020,2324.65,2628.01,2707.64,2775.86,2921.30,2998.89,3314.22,3747.59,4161.22,4915.96,4293.82,3918.35,3762.67,4283.16,4814.86,3897.29,3129.21,2347.55,1290.19,422.13,68.86
Mongolia,2020,185.24,178.82,139.41,108.33,113.57,135.06,155.12,126.36,112.90,102.44,88.42,79.26,55.05,34.35,20.72,14.57,8.36,3.96,1.11,0.19,0.02
Republic of Korea,2020,922.71,1098.05,1101.94,1187.21,1533.12,1629.19,1548.94,1822.80,1909.12,2107.49,2147.03,2078.61,1918.66,1391.28,1068.27,897.66,679.94,379.18,143.17,35.21,3.76
Brunei Darussalam,2020,15.42,16.78,15.17,16.40,16.70,16.45,17.83,17.79,16.91,15.77,13.80,10.65,8.37,5.71,3.26,1.67,1.19,0.51,0.13,0.02,0.00
Cambodia,2020,871.69,858.56,800.69,727.38,754.49,779.85,639.17,851.36,333.87,422.01,391.39,356.34,276.71,218.96,133.48,80.24,40.20,15.91,3.70,0.52,0.03
Indonesia,2020,11565.56,11886.87,11174.79,11310.29,11027.51,10278.03,10018.02,10603.16,9787.22,8996.89,7947.05,6659.93,5245.49,3575.89,2525.49,1685.01,1002.25,384.80,113.43,16.90,1.19
Lao People's Democratic Republic,2020,390.55,377.84,372.42,349.64,343.14,333.83,292.85,248.30,208.64,177.69,145.56,118.98,92.51,69.53,48.29,29.88,16.17,6.18,1.53,0.20,0.02
Malaysia,2020,1278.63,1216.60,1187.86,1293.15,1389.29,1413.82,1416.88,1286.14,989.06,920.66,833.96,709.20,606.34,468.25,343.04,192.79,119.98,52.12,14.63,2.57,0.24
Myanmar,2020,2231.98,2241.06,2412.70,2530.60,2392.49,2233.59,2115.86,2019.90,1958.23,1831.54,1643.95,1389.38,1158.96,911.43,523.30,323.12,178.53,72.69,17.78,2.36,0.17
Philippines,2020,5165.71,5551.88,5328.55,5055.24,4912.58,4672.17,4080.42,3610.18,3254.62,2875.54,2578.05,2174.06,1778.42,1348.67,951.81,597.11,378.17,165.70,59.19,12.61,1.58
Singapore,2020,124.11,107.08,117.61,128.30,178.22,197.27,204.20,224.12,227.84,231.86,217.76,219.92,204.85,166.30,100.08,55.27,42.64,25.48,11.55,3.05,0.60
Thailand,2020,1745.64,1867.11,1996.57,2133.66,2357.99,2395.21,2234.97,2401.26,2728.49,2925.12,2940.32,2676.63,2328.61,1763.67,1269.43,901.46,633.73,349.29,144.02,34.69,6.06
Timor-Leste,2020,87.39,75.47,75.65,75.48,63.95,56.84,44.52,34.12,23.30,26.64,23.62,19.90,15.10,10.19,9.45,6.06,3.18,1.04,0.26,0.03,0.00
Viet Nam,2020,3727.63,3581.34,3364.14,3136.02,3320.02,4205.67,4158.12,3848.23,3508.29,3272.31,2960.41,2711.51,2318.81,1672.28,987.16,703.52,562.52,416.16,195.57,72.54,18.08
Antigua and Barbuda,2020,3.63,3.56,3.37,3.49,3.75,3.67,3.69,3.72,3.71,3.77,3.64,3.25,2.49,1.81,1.34,0.86,0.51,0.29,0.10,0.02,0.00
Aruba,2020,2.97,2.79,3.35,3.56,3.76,3.61,2.68,3.13,3.71,4.05,4.40,4.90,4.20,3.36,2.41,1.55,1.03,0.48,0.15,0.03,0.00
Bahamas,2020,13.17,12.94,15.63,16.32,16.78,16.51,14.17,14.37,14.34,15.16,13.43,12.52,9.63,6.49,4.48,3.26,1.89,0.79,0.24,0.04,0.00
Barbados,2020,7.43,7.62,8.62,9.22,9.23,9.40,9.09,9.75,9.58,10.52,10.24,10.85,10.00,8.09,6.41,4.69,3.51,2.25,1.25,0.43,0.11
Cuba,2020,277.78,305.43,293.42,312.23,341.08,347.27,407.71,340.04,304.96,470.45,508.99,498.37,314.75,300.74,238.90,192.76,129.72,70.94,34.12,11.53,1.95
Curaçao,2020,4.40,5.04,5.15,5.41,4.64,5.12,5.06,5.28,5.27,6.16,6.50,7.22,6.40,5.41,4.42,3.10,2.12,1.20,0.53,0.17,0.04
Dominican Republic,2020,491.04,488.28,478.99,470.06,462.35,456.26,415.92,366.42,336.56,307.63,277.34,243.10,199.92,152.49,107.76,73.76,52.30,29.84,13.46,4.77,1.46
Grenada,2020,4.40,4.45,4.19,3.68,4.29,4.75,4.56,4.42,3.27,3.02,2.87,3.08,2.88,1.92,1.46,1.16,0.82,0.44,0.17,0.03,0.00
Guadeloupe,2020,11.26,10.87,13.91,14.70,13.95,9.00,9.16,10.72,12.77,15.86,17.00,17.12,14.60,13.08,10.58,7.85,5.71,4.11,2.23,0.85,0.22
Haiti,2020,619.18,608.27,592.09,568.69,536.37,496.32,460.86,422.31,324.78,252.26,221.15,192.45,153.33,123.62,83.85,61.43,36.14,16.10,5.32,1.32,0.24
Jamaica,2020,112.92,114.59,111.73,117.37,128.13,125.26,115.03,108.31,94.55,93.55,89.15,76.11,66.46,46.18,36.14,25.38,16.94,9.44,3.60,0.62,0.07
Martinique,2020,9.00,8.52,11.05,11.99,11.98,8.21,9.61,9.93,10.92,14.74,17.01,17.84,14.96,13.42,10.76,8.01,6.58,4.83,2.25,0.86,0.19
Puerto Rico,2020,40.74,75.78,102.14,85.72,64.47,70.57,78.17,90.41,102.28,108.65,115.57,111.70,108.86,94.92,90.04,66.38,47.35,29.89,14.73,5.74,1.23
Saint Lucia,2020,5.34,5.42,5.51,6.56,7.95,8.46,7.29,7.31,6.58,6.61,6.35,5.70,4.42,3.11,2.56,1.84,1.21,0.63,0.28,0.06,0.01
Saint Vincent and the Grenadines,2020,3.80,4.13,4.13,4.38,4.55,4.05,3.91,3.97,3.74,3.35,3.30,3.29,2.53,1.93,1.38,0.88,0.77,0.48,0.13,0.02,0.00
Trinidad and Tobago,2020,43.46,47.29,47.49,44.19,42.42,48.33,58.06,63.23,50.75,45.61,42.26,47.71,39.02,31.56,23.66,16.81,9.73,4.63,1.84,0.44,0.06
United States Virgin Islands,2020,2.90,3.35,3.64,3.27,3.12,3.11,2.58,2.82,3.03,3.32,3.78,3.91,3.94,3.62,3.50,2.50,1.42,0.70,0.26,0.07,0.01
Belize,2020,19.46,19.08,18.65,19.81,19.73,18.38,16.46,14.37,11.98,10.81,8.90,7.15,5.27,3.63,2.43,1.61,1.14,0.67,0.30,0.04,0.00
Costa Rica,2020,169.90,174.63,173.62,177.68,196.17,208.62,212.67,196.07,174.01,153.10,155.31,151.76,125.40,92.72,72.70,49.69,33.41,19.50,9.00,2.66,0.43
El Salvador,2020,281.36,278.57,282.96,292.08,322.24,306.83,259.85,230.01,216.71,196.05,173.92,152.69,128.07,108.84,81.50,63.10,42.86,22.37,7.84,1.76,0.18
Guatemala,2020,1010.07,969.48,942.38,953.92,889.33,804.03,687.37,610.35,509.31,407.02,323.47,261.95,217.91,180.15,122.83,89.04,60.32,33.56,12.87,2.79,0.32
Honduras,2020,496.59,483.85,501.57,510.08,498.86,439.73,389.45,344.92,294.67,241.43,199.15,157.75,126.20,98.07,66.50,45.58,31.33,18.79,8.39,2.48,0.34
Mexico,2020,5353.96,5478.81,5448.05,5514.58,5434.66,5411.64,5041.47,4746.36,4502.23,4233.03,3688.87,3090.56,2500.18,1938.30,1340.72,947.53,602.44,361.12,168.10,50.44,8.24
Nicaragua,2020,321.43,321.44,308.56,291.13,283.77,286.87,275.73,259.98,222.06,184.57,150.07,128.30,109.64,83.99,47.18,38.31,25.09,13.67,5.92,1.71,0.31
Panama,2020,190.26,188.07,180.82,175.44,172.47,163.39,157.82,149.90,143.89,134.39,118.13,100.71,82.04,64.07,48.44,35.65,24.34,14.60,7.20,2.62,0.64
Argentina,2020,1833.23,1820.69,1766.04,1739.69,1714.60,1745.04,1660.24,1572.14,1571.75,1359.57,1198.26,1119.82,1006.67,899.26,758.35,577.68,406.46,251.28,114.06,28.42,3.42
Bolivia (Plurinational State of),2020,579.54,576.76,568.24,557.07,524.09,481.35,432.52,383.10,334.57,287.25,243.09,204.98,172.47,144.89,118.35,89.56,59.75,35.05,16.23,5.12,1.04
Brazil,2020,7070.45,7136.98,7319.06,7964.69,8466.49,8418.59,8576.22,8735.13,7956.79,7079.05,6652.00,6089.81,5044.88,4034.22,2957.96,2011.19,1395.70,752.23,349.83,96.88,15.48
Chile,2020,570.36,621.87,614.05,611.78,690.83,783.76,760.57,692.55,661.08,632.83,619.29,587.20,514.84,432.90,317.94,235.87,166.73,104.88,53.14,15.11,2.95
Colombia,2020,1811.78,1809.77,1894.70,2079.57,2174.90,2190.59,2024.70,1903.24,1773.28,1607.49,1537.39,1395.72,1129.43,913.14,649.78,445.77,298.00,166.49,70.45,19.49,2.66
Ecuador,2020,814.61,787.67,760.87,765.54,770.69,727.72,679.03,615.34,554.10,501.77,440.12,372.03,310.21,253.08,173.17,130.49,84.43,47.23,21.41,7.58,2.13
French Guiana,2020,17.40,14.80,14.33,14.39,12.68,10.79,10.00,10.65,9.88,8.87,7.57,5.90,5.06,3.62,2.15,1.55,0.67,0.38,0.19,0.06,0.01
Guyana,2020,35.96,35.80,34.63,37.14,37.04,33.11,21.95,24.59,22.71,22.82,21.25,18.64,15.28,11.64,7.79,4.44,3.70,1.29,0.80,0.39,0.07
Paraguay,2020,342.46,333.88,331.08,322.31,331.35,314.95,291.44,251.28,198.32,157.05,143.86,127.66,109.27,90.78,65.08,45.69,29.83,14.18,6.03,1.45,0.22
