"Region, subregion, country or area *",Reference date (as of 1 July),age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100
State of Palestine,2020,692.913,671.615,592.433,517.06,498.642,467.083,369.818,294.478,247.141,200.999,166.831,130.487,87.852,64.001,48.34,29.495,15.43,5.396,1.216,0.174,0.012
Syrian Arab Republic,2020,1919.096,1716.807,1749.863,1575.262,1603.5,1496.483,1520.848,1386.345,1095.036,833.865,689.438,595.908,465.146,357.219,209.32,146.227,84.923,41.886,11.541,1.78,0.164
Turkey,2020,6567.148,6852.122,6773.238,6821.911,6770.019,6404.144,6394.98,6379.751,6008.074,5438.505,4755.468,4152.955,3446.2,2746.192,1970.496,1383.083,877.363,453.346,124.984,17.811,1.277
United Arab Emirates,2020,499.138,512.575,453.459,389.532,715.753,1433.59,1795.746,1373.568,916.021,692.088,456.601,341.312,185.966,56.741,36.26,19.624,7.159,4.008,0.956,0.272,0.031
Yemen,2020,4115.306,3918.102,3548.681,3201.593,2925.246,2807.5,2329.316,1811.122,1362.091,1000.713,773.313,649.522,509.267,370.183,258.978,144.493,69.141,24.423,5.989,0.911,0.078
Kazakhstan,2020,1920.184,1947.826,1604.307,1116.616,1100.046,1473.146,1657.57,1335.925,1183.701,1102.72,977.68,1061.761,811.338,627.571,319.982,232.523,215.623,62.111,22.784,3.069,0.224
Kyrgyzstan,2020,760.255,769.195,600.626,500.075,514.389,568.551,572.187,442.518,361.459,324.976,295.973,285.462,220.069,143.755,78.619,32.595,32.507,15.592,4.435,0.897,0.056
Tajikistan,2020,1356.75,1220.86,977.078,811.289,833.803,814.719,786.165,604.166,472.633,409.766,372.286,328.604,246.25,141.64,77.992,39.614,29.793,10.476,3.39,0.351,0.017
Turkmenistan,2020,661.065,671.865,524.183,484.56,461.537,548.254,525.197,432.688,378.455,319.366,283.597,251.862,200.994,133.45,68.644,34.814,32.508,12.789,4.582,0.705,0.072
Uzbekistan,2020,3431.637,3282.087,2925.422,2535.432,2782.336,3164.651,3030.397,2546.798,2105.4,1825.1,1568.642,1500.119,1168.385,771.243,343.946,228.204,163.802,67.757,23.65,3.712,0.479
Afghanistan,2020,5672.509,5416.223,5192.114,4629.445,3926.485,3109.386,2478.259,2056.387,1658.723,1304.736,1032.359,807.839,612.638,444.858,312.451,168.004,75.605,24.46,5.192,0.629,0.039
Bangladesh,2020,14328.179,14644.431,15089.278,15585.144,15239.226,14525.807,13763.089,12748.544,11225.285,9425.985,8304.795,6700.908,4500.389,2796.448,2357.159,1738.653,1021.347,483.031,167.128,38.816,5.741
Bhutan,2020,63.855,61.973,66.263,69.73,74.308,79.006,75.718,62.963,50.275,39.329,33.389,25.625,21.303,15.605,12.754,9.48,5.681,2.856,1.116,0.317,0.066
India,2020,116879.507,117982.127,126155.952,126045.566,122504.804,117397.269,112176.098,103460.178,90219.894,79440.28,68875.962,59256.268,48890.528,38260.283,24091.443,15083.955,8489.011,3531.139,992.985,223.197,47.939
Iran (Islamic Republic of),2020,7637.559,6928.297,6217.945,5529.983,5556.228,6786.679,8466.702,8272.744,6491.321,5164.295,4618.479,3676.852,3132.274,2264.631,1448.001,906.606,551.612,277.481,56.676,8.07,0.518
Maldives,2020,35.579,37.242,33.125,26.313,51.053,88.631,82.881,54.726,36.768,27.881,20.03,15.286,11.607,6.557,4.381,4.085,2.754,1.217,0.341,0.074,0.011
Nepal,2020,2706.773,2756.21,2931.249,3188.881,3221.524,2664.85,2069.262,1723.48,1597.026,1448.627,1263.391,1044.309,823.091,664.987,473.733,337.802,152.514,54.15,13.263,1.588,0.098
Pakistan,2020,27962.852,25499.38,23451.518,21975.918,20772.274,19158.088,16818.327,13997.696,11615.522,9633.225,8230.713,6891.9,5279.09,3623.324,2705.744,1853.185,961.863,364.849,85.303,10.72,0.84
Sri Lanka,2020,1660.41,1689.625,1721.661,1664.559,1495.651,1406.206,1352.386,1467.635,1524.435,1356.67,1317.276,1237.542,1113.872,899.324,727.431,418.906,208.11,106.461,37.893,6.622,0.575
China,2020,83932.437,86735.183,84262.751,82341.859,87158.167,97989.003,128738.97,100091.455,96274.146,119837.617,123445.382,98740.491,77514.139,74149.766,44949.689,26544.616,16181.417,7581.777,2305.024,475.193,74.692
"China, Hong Kong SAR",2020,362.563,301.632,285.856,266.803,374.346,493.283,536.342,585.823,565.562,563.568,568.882,639.024,589.09,459.791,344.127,180.957,177.823,119.62,59.859,18.476,3.561
"China, Macao SAR",2020,35.933,32.884,24.392,22.442,36.025,52.307,67.616,62.186,43.958,49.444,46.928,52.687,44.803,34.191,20.659,9.222,6.575,4.394,2.079,0.539,0.078
"China, Taiwan Province of China",2020,1011.137,1041.749,975.803,1213.008,1502.279,1618.075,1621.625,1926.961,2032.452,1755.391,1806.638,1852.58,1684.376,1416.638,903.13,585.67,438.185,272.016,122.053,32.817,4.192
Dem. People's Republic of Korea,2020,1746.093,1684.278,1684.99,1876.239,1940.873,1984.843,1851.025,1790.869,1556.431,2157.885,2140.489,1482.297,1472.517,662.166,745.082,558.877,308.657,105.826,25.428,3.683,0.267
Japan,2020,4778.481,5401.488,5564.526,5702.645,5996.877,6150.448,6789.745,7665.671,8468.421,10004.654,8658.611,7882.904,7496.122,8379.113,9127.318,7058.057,5339.049,3630.344,1785.823,517.525,78.636
Mongolia,2020,375.46,362.015,281.841,218.602,228.499,271.517,309.399,254.881,222.852,200.194,168.357,145.695,97.609,60.753,35.624,24.265,13.237,5.717,1.506,0.246,0.023
Republic of Korea,2020,1897.011,2256.802,2276.782,2476.476,3216.244,3500.05,3282.425,3797.414,3924.934,4293.91,4315.516,4161.183,3774.566,2679.14,1998.091,1562.555,1083.829,540.103,184.909,42.896,4.347
Brunei Darussalam,2020,31.672,34.683,31.309,33.775,35.2,34.496,38.141,38.427,35.64,32.363,27.992,22.229,17.186,11.327,6.211,3.358,2.175,0.958,0.281,0.055,0.005
Cambodia,2020,1778.977,1751.61,1639.744,1460.325,1528.306,1589.299,1241.298,1647.97,626.899,802.188,732.822,654.662,453.519,363.257,221.238,131.207,63.482,25.586,5.785,0.757,0.04
Indonesia,2020,23658.296,24298.15,22984.659,23318.346,22653.27,20918.156,19973.248,21193.374,19680.74,18165.985,15954.982,13200.117,10394.846,7136.365,4617.543,2956.932,1631.677,593.134,168.993,23.245,1.563
Lao People's Democratic Republic,2020,796.887,769.855,757.599,708.652,691.999,670.626,590.926,495.603,416.557,356.127,288.932,237.645,184.27,133.701,84.637,51.527,27.328,10.037,2.34,0.288,0.02
Malaysia,2020,2635.111,2508.078,2446.026,2669.743,2863.057,2907.311,2929.646,2721.572,2095.698,1894.835,1674.475,1471.562,1223.817,927.548,657.88,367.301,229.56,103.35,31.442,6.891,1.095
Myanmar,2020,4508.556,4512.705,4845.4,5071.244,4759.011,4404.07,4127.737,3945.262,3759.985,3459.985,3051.348,2521.871,2049.578,1554.386,891.296,531.734,279.501,108.124,24.686,3.096,0.219
Philippines,2020,10616.342,11397.952,10906.801,10462.894,10104.334,9479.78,8247.197,7254.73,6551.963,5759.264,5116.997,4249.923,3393.186,2485.685,1661.429,978.19,580.536,241.033,76.064,14.988,1.797
Singapore,2020,258.176,220.861,240.625,265.169,397.537,435.521,434.677,461.938,473.271,491.602,466.411,479.811,443.631,355.694,190.228,99.406,73.381,40.499,16.981,4.173,0.751
Thailand,2020,3596.052,3843.78,4113.805,4378.506,4807.904,4822.404,4466.694,4763.033,5308.84,5605.417,5598.953,5082.441,4367.653,3256.703,2282.338,1584.23,1070.912,563.683,225.198,52.666,8.766
Timor-Leste,2020,178.084,153.794,153.73,152.986,129.785,115.123,89.86,69.167,46.63,54.158,48.162,40.311,30.184,19.96,17.932,10.982,5.447,1.695,0.401,0.048,0.003
Viet Nam,2020,7892.471,7586.101,7098.174,6500.869,6820.203,8569.293,8437.027,7763.897,7033.826,6539.136,5868.357,5241.611,4330.954,3011.733,1651.958,1126.514,860.586,609.173,274.625,98.225,23.85
Antigua and Barbuda,2020,7.355,7.228,6.814,7.053,7.579,7.315,7.066,7.028,6.916,6.944,6.799,6.033,4.658,3.385,2.501,1.6,0.923,0.51,0.182,0.035,0.004
Aruba,2020,6.08,5.677,6.8,7.21,7.565,7.415,5.424,5.82,6.74,7.531,8.142,9.063,7.706,6.048,4.302,2.656,1.631,0.715,0.203,0.034,0.004
Bahamas,2020,27.064,26.59,31.293,32.502,33.496,33.072,28.015,27.442,27.577,28.919,25.569,23.653,17.584,11.846,8.023,5.622,3.187,1.309,0.405,0.072,0.008
Barbados,2020,15.12,15.498,17.547,18.965,18.769,18.809,18.101,19.023,18.804,20.263,19.635,20.301,18.54,15.033,11.889,8.265,6.109,3.77,2.017,0.709,0.204
Cuba,2020,571.283,628.093,603.903,642.829,701.268,719.751,831.041,691.992,617.644,944.338,998.474,968.821,606.994,567.028,449.129,355.078,229.564,121.626,56.178,18.439,3.143
Curaçao,2020,8.996,10.335,10.497,11.077,9.501,10.037,9.328,9.395,9.236,11.045,11.639,12.787,11.234,9.471,7.787,5.218,3.516,1.911,0.795,0.249,0.046
Dominican Republic,2020,1002.829,996.519,977.245,958.63,939.563,914.754,825.573,738.809,668.263,606.226,541.435,472.9,388.564,293.575,204.15,137.35,94.846,52.907,23.314,8.053,2.399
Grenada,2020,9.012,9.119,8.623,7.514,8.699,9.59,9.345,8.865,6.561,6.31,5.917,6.228,5.718,3.858,2.793,1.995,1.386,0.702,0.243,0.038,0.003
Guadeloupe,2020,22.897,22.097,28.714,29.799,28.16,18.718,16.279,17.481,21.521,27.786,30.74,31.462,27.039,23.53,19.38,13.562,9.728,6.399,3.344,1.192,0.299
Haiti,2020,1262.943,1237.836,1202.069,1144.46,1065.198,979.259,905.799,825.857,627.216,479.271,423.749,365.875,292.954,230.978,150.812,109.403,61.69,26.502,8.369,1.964,0.329
Jamaica,2020,230.823,233.966,226.882,239.718,261.17,254.326,232.494,210.889,178.572,178.858,171.265,149.268,124.125,90.416,70.719,48.802,32.092,17.745,7.326,1.491,0.214
Martinique,2020,18.353,17.6,22.799,24.323,24.395,16.977,16.928,17.174,18.747,25.44,30.456,32.339,28.311,24.156,19.568,14.104,11.245,7.638,3.361,1.116,0.235
Puerto Rico,2020,84.291,156.033,210.323,184.343,143.483,145.27,156.591,174.926,196.071,203.173,211.742,202.442,196.316,164.709,157.59,116.091,78.201,47.361,22.265,7.959,1.66
Saint Lucia,2020,10.826,10.986,11.152,13.183,15.87,16.946,14.292,14.155,12.886,12.631,12.357,11.018,8.417,6.138,4.88,3.477,2.405,1.24,0.58,0.157,0.033
Saint Vincent and the Grenadines,2020,7.706,8.241,8.355,9.073,9.29,8.212,7.94,7.771,7.523,6.961,6.782,6.808,5.289,3.887,2.721,1.782,1.44,0.9,0.227,0.034,0.005
Trinidad and Tobago,2020,88.366,96.085,96.32,89.49,85.696,97.306,116.833,126.028,101.245,90.197,82.715,92.347,75.717,60.176,43.96,29.694,16.45,7.361,2.768,0.649,0.088
United States Virgin Islands,2020,5.97,6.898,7.242,6.776,6.484,6.247,4.688,5.043,5.541,6.225,7.085,7.364,7.458,6.563,6.347,4.554,2.393,1.079,0.367,0.088,0.011
Belize,2020,39.446,38.66,37.997,39.853,39.341,36.478,32.103,27.612,23.055,20.903,17.481,14.329,10.45,7.364,5.019,3.292,2.263,1.271,0.607,0.085,0.012
Costa Rica,2020,348.002,357.596,355.406,363.431,400.231,424.225,430.581,395.074,348.236,302.326,304.942,297.453,244.307,178.701,138.64,92.225,59.91,33.38,14.689,4.127,0.632
El Salvador,2020,576.216,570.607,577.896,587.927,633.084,582.73,474.241,408.201,381.604,343.538,303.127,264.944,220.967,185.329,139.605,108.786,74.608,37.717,12.339,2.5,0.235
Guatemala,2020,2065.382,1982.085,1926.021,1945.584,1802.495,1610.664,1354.136,1177.928,956.404,745.589,583.906,469.911,392.152,326.7,221.43,161.077,108.841,58.937,21.501,4.36,0.464
Honduras,2020,1017.017,988.975,1023.648,1040.99,1014.731,890.687,783.566,687.371,579.933,467.803,381.155,298.856,237.302,182.776,122.731,82.58,55.285,31.705,13.285,3.721,0.491
Mexico,2020,10958.742,11210.511,11140.87,11209.593,10939.819,10795.774,9789.88,9090.15,8531.964,8015.794,6924.917,5833.054,4669.454,3595.499,2466.707,1722.006,1058.504,609.984,275.132,81.437,12.962
Nicaragua,2020,656.942,660.204,637.14,603.021,584.71,581.29,549.059,506.393,421.195,341.842,273.901,233.419,199.33,149.422,83.411,67.091,42.806,21.955,8.657,2.352,0.414
Panama,2020,389.313,384.466,369.411,357.198,349.063,329.192,317.131,301.464,288.124,268.271,234.644,198.335,159.727,122.905,91.619,66.189,44.016,25.732,12.41,4.453,1.105
Argentina,2020,3736.651,3709.817,3597.262,3539.449,3477.335,3520.249,3318.98,3122.432,3089.901,2637.843,2301.731,2123.209,1883.733,1645.009,1337.223,963.414,634.684,364.685,152.346,35.706,4.118
Bolivia (Plurinational State of),2020,1185.499,1179.088,1161.012,1136.684,1065.189,974.345,870.945,768.154,667.885,570.458,480.562,403.03,336.191,279.127,225.44,166.501,106.906,60.027,26.533,7.941,1.512
Brazil,2020,14475.093,14601.817,14942.442,16218.004,17152.049,16952.594,17147.907,17328.855,15661.313,13800.693,12822.932,11598.27,9468.159,7428.703,5309.419,3492.132,2317.208,1175.24,510.827,134.602,21.15
Chile,2020,1162.223,1265.856,1249.637,1244.242,1402.909,1592.629,1545.821,1399.583,1324.096,1254.308,1214.595,1137.676,982.299,809.488,581.299,411.827,274.26,162.146,77.228,20.356,3.731
Colombia,2020,3710.699,3703.456,3873.485,4246.391,4421.466,4425.595,4056.807,3753.492,3421.069,3029.718,2908.465,2635.515,2086.45,1684.908,1187.636,792.125,516.269,278.541,115.655,31.139,4.003
Ecuador,2020,1667.087,1610.643,1555.045,1560.94,1566.534,1469.654,1363.153,1229.686,1099.016,989.224,864.304,726.835,601.634,486.104,328.07,242.054,152.26,82.385,35.077,10.846,2.509
