"Region, subregion, country or area *",Reference date (as of 1 July),age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100
Central African Republic,2020,372.065,350.619,334.903,299.019,241.758,178.714,138.721,111.897,90.228,76.549,62,48.13,36.015,24.617,15.117,8.85,3.781,0.953,0.103,0.003,0
Chad,2020,1475.507,1265.436,1094.282,928.896,769.725,623.114,495.761,390.868,305.919,235.439,177.726,140.405,110.762,82.769,51.956,31.137,14.662,4.74,0.953,0.106,0.007
Congo,2020,415.382,388.643,344.99,287.96,238.869,199.449,177.197,162.94,146.597,121.075,93.824,67.912,46.26,30.837,18.814,10.294,4.342,1.143,0.144,0.006,0
Democratic Republic of the Congo,2020,7991.895,6888.387,5805.837,4760.695,3869.12,3216.124,2659.811,2195.945,1796.455,1467.659,1186.242,934.221,712.165,517.964,359.696,210.931,97.636,32.141,6.513,0.696,0.039
Equatorial Guinea,2020,100.908,87.182,73.357,61.175,80.369,92.164,91.086,65.91,41.844,27.092,20.434,12.965,9.911,7.464,4.384,2.593,1.118,0.37,0.051,0.003,0
Gabon,2020,161.882,141.075,115.582,97.251,90.29,95.115,95.903,84.873,70.585,56.534,41.474,27.6,19.879,14.566,10.123,6.045,2.981,0.951,0.139,0.006,0
Sao Tome and Principe,2020,16.064,15.492,14.697,12.631,9.45,7.563,7.102,6.343,5.514,3.766,3.625,2.541,2.046,1.239,0.808,0.423,0.268,0.08,0.02,0.003,0
Botswana,2020,137.546,135.08,124.635,114.07,102.793,98.69,89.772,83.269,69.073,52.24,37.552,28.245,23.651,18.567,12.478,7.449,2.863,0.933,0.178,0.015,0
Eswatini,2020,72.522,71.959,74.096,65.366,58.758,51.75,38.083,34.038,26.255,21.771,16.623,12.126,9.976,7.405,5.084,2.889,1.178,0.308,0.045,0.004,0
Lesotho,2020,127.621,112.635,105.394,108.485,102.782,96.776,90.607,80.767,63.047,45.385,34.316,28.707,22.494,16.281,11.49,6.428,2.77,0.833,0.122,0.009,0.001
Namibia,2020,168.341,159.147,140.532,121.792,120.64,111.871,96.336,77.504,63.274,50.791,37.505,29.565,21.065,13.67,9.296,6.113,3.003,1.02,0.203,0.015,0
South Africa,2020,2918.993,2943.352,2774.621,2472.38,2476.821,2628.636,2710.031,2403.602,1892.772,1578.214,1290.806,1035.566,804.405,584.956,359.322,213.173,95.571,28.462,4.071,0.248,0.01
Benin,2020,968.52,856.395,754.306,653.817,563.264,474.966,391.841,322.734,265.072,216.367,176.046,137.284,102.815,74.216,46.464,30.329,13.828,4.742,1.086,0.144,0.012
Burkina Faso,2020,1766.88,1566.931,1386.191,1175.924,974.97,801.871,662.313,551.155,438.595,334.124,259.751,191.387,136.094,89.966,58.59,32.84,13.145,3.43,0.517,0.039,0
Cabo Verde,2020,26.315,26.956,25.763,24.506,23.375,26.677,27.733,24.183,18.883,15.621,12.452,10.432,6.679,4.481,1.582,1.358,1.319,0.632,0.154,0.015,0.001
Côte d'Ivoire,2020,2078.375,1818.185,1605.33,1453.498,1264.223,1056.579,867.101,716.085,600.802,480.837,387.941,317.901,253.304,185.066,115.389,65.695,26.774,6.528,0.733,0.033,0.001
Gambia,2020,206.791,178.154,151.107,128.733,113.152,98.92,78.498,58.773,46.492,36.521,30.637,23.955,17.091,12.364,9.274,5.34,2.132,0.533,0.069,0.004,0
Ghana,2020,2129.11,1985.078,1776.454,1602.929,1462.45,1298.561,1158.508,979.065,822.527,706.123,593.58,465.904,321.423,199.79,137.932,69.822,29.964,9.05,1.586,0.138,0.005
Guinea,2020,1057.293,938.907,850.299,763.316,659.751,530.336,398.448,291.65,215.946,165.71,135.641,111.417,88.173,67.003,39.424,25.135,11.204,3.09,0.459,0.031,0.001
Guinea-Bissau,2020,153.942,139.575,121.86,103.641,89.633,78.806,66.994,55.196,41.751,32.576,23.975,18.638,14.277,10.956,5.957,3.291,1.245,0.338,0.042,0.002,0
Liberia,2020,377.951,346.028,317.302,280.365,233.827,189.883,167.817,148.5,123.141,99.142,77.752,60.556,45.575,32.249,19.973,13.907,6.407,1.873,0.275,0.016,0
Mali,2020,1833.532,1604.185,1402.261,1140.85,896.033,715.541,583.496,493.552,408.466,321.64,233.285,165.884,125.808,98.582,61.113,39.153,16.105,4.824,0.802,0.059,0.003
Mauritania,2020,351.305,313.838,272.378,238.275,210.838,188.33,169.259,144.363,118.009,93.549,73.309,56.457,41.923,28.47,17.482,10.182,4.894,1.719,0.36,0.039,0.002
Niger,2020,2440.373,2018.657,1659.445,1339.887,1063.033,830.858,624.978,453.448,397.511,333.314,265.844,249.047,186.382,145.601,90.932,47.621,17.819,4.68,0.687,0.047,0.001
Nigeria,2020,17377.466,15287.661,13159.355,11151.483,9170.281,7660.61,6613.972,5745.353,4785.766,3807.418,2947.899,2330.368,1764.536,1232.451,816.324,426.433,153.999,34.068,3.939,0.243,0.012
Senegal,2020,1326.412,1224.809,1061.953,890.072,759.44,640.554,531.253,437.493,334.461,260.554,205.176,159.539,122.156,93.449,60.476,38.709,18.19,5.245,0.788,0.055,0.001
Sierra Leone,2020,580.904,534.486,496.964,438.908,378.242,328.581,281.481,236.247,189.857,150.419,116.214,87.252,62.38,43.161,29.315,16.678,7.283,2.312,0.488,0.062,0.005
Togo,2020,611.674,561.621,513.865,447.288,373.141,316.365,283.604,247.805,205.162,161.907,123.729,93.632,69.662,50.085,32.819,17.933,7.068,1.788,0.24,0.016,0
Algeria,2020,2574.062,2366.637,1949.293,1484.482,1531.025,1812.011,1877.52,1782.775,1511.22,1214.095,1026.74,867.903,703.307,583.04,359.717,241.813,157.783,80.994,24.471,4.409,0.511
Egypt,2020,6528.609,6354.802,4985.998,4475.741,4311.277,4096.307,4065.995,3621.128,3061.179,2426.734,2069.528,1803.211,1451.809,1040.463,757.873,365.017,192.66,74.666,17.328,2.358,0.179
Libya,2020,320.512,339.627,319.799,287.88,275.749,278.771,292.656,290.091,287.068,248.084,189.732,120.203,78.169,56.579,36.405,26.512,14.193,5.35,1.205,0.144,0.008
Morocco,2020,1706.33,1757.751,1605.973,1518.513,1465.622,1521.676,1418.44,1321.046,1111.753,975.16,916,903.13,776.036,580.692,340.255,230.945,124.233,37.082,5.86,0.377,0.013
Sudan,2020,3215.817,2934.394,2696.428,2428.941,2101.084,1747.912,1393.965,1172.941,977.606,826.525,696.757,547.161,419.497,313.239,213.087,126.992,63.403,23.989,6.354,1.093,0.11
Tunisia,2020,515.063,522.024,441.989,408.536,426.108,456.673,449.414,485.205,407.879,352.258,339.695,320.786,263.858,202.129,112.162,76.636,49.027,24.187,6.086,0.976,0.061
Western Sahara,2020,28.54,28.336,25.137,24.463,25.515,28.181,29.736,28.642,24.753,19.788,15.861,12.711,9.714,5.971,2.726,1.242,0.658,0.228,0.052,0.006,0
Armenia,2020,107.883,113.643,105.888,91.231,92.927,111.248,126.226,108.316,86.905,73.107,70.401,85.257,84.196,54.592,33.796,15.945,21.033,7.813,2.977,0.323,0.04
Azerbaijan,2020,435.899,460.346,374.228,341.404,377.968,450.732,465.572,412.182,327.657,296.105,297.201,307.868,230.664,138.744,64.62,36.504,32.143,12.081,2.49,0.242,0.014
Bahrain,2020,54.608,58.503,46.133,48.537,52.816,146.431,220.224,160.056,101.279,73.44,51.983,34.121,27.656,12.509,6.141,3.415,1.789,0.569,0.237,0.025,0.002
Cyprus,2020,33.386,34.761,34.917,38.438,49.613,51.892,49.887,45.302,42.313,39.016,36.918,36.218,31.495,27.053,21.628,14.886,9.967,4.281,1.312,0.213,0.018
Georgia,2020,138.258,147.779,133.421,115.388,123.191,135.421,144,135.616,128.334,122.568,115.229,126.465,109.571,87.362,58.299,34.874,30.644,11.225,3.26,0.305,0.017
Iraq,2020,2768.066,2687.416,2341.048,2128.81,1941.425,1718.989,1492.575,1262.099,1088.847,890.358,684.409,430.293,306.318,282.693,153.582,106.824,51.696,18.072,3.751,0.467,0.04
Israel,2020,434.626,422.77,378.84,342.69,320.121,293.13,285.404,278.739,270.334,245.995,205.483,183.531,166.086,165.565,134.423,77.168,51.897,32.673,14.093,4.092,0.457
Jordan,2020,542.518,588.281,576.779,525.125,474.134,434.685,393.062,363.013,311.307,276.879,224.092,161.951,106.011,72.23,51.93,35.957,19.675,6.857,1.354,0.131,0.008
Kuwait,2020,148.199,170.63,172.936,124.293,113.361,148.359,226.455,326.227,340.377,289.969,228.008,144.098,100.286,48.076,17.995,9.606,4.417,1.074,0.072,0.008,0
Lebanon,2020,289.068,306.544,293.831,291.371,294.138,280.101,239.805,228.624,224.488,207.157,213.215,197.629,134.293,91.717,62.981,38.67,26.526,12.29,2.861,0.411,0.026
Oman,2020,231.912,191.623,165.92,93.682,200.348,579.658,668.869,411.483,284.023,206.492,124.01,93.58,56.811,27.596,11.747,11.957,7.058,2.567,0.727,0.146,0.021
Qatar,2020,69.262,69.595,62.926,58.196,189.302,406.816,401.068,263.944,196.921,165.003,124.535,79.3,43.352,21.908,9.057,2.045,1.029,0.53,0.257,0.059,0.03
Saudi Arabia,2020,1510.712,1510.498,1340.839,1128.96,1228.06,1663.792,2020.91,2209.618,2293.87,1861.908,1284.975,898.452,532.166,315.257,151.011,101.58,50.137,20.619,6.603,1.254,0.087
State of Palestine,2020,354.51,343.36,302.555,262.81,253.198,237.804,188.136,149.72,125.552,101.465,83.644,64.681,42.801,30.053,24.082,13.424,6.604,2.128,0.398,0.043,0.003
Syrian Arab Republic,2020,979.588,875.341,891.639,803.718,818.343,766.449,771.492,686.02,533.147,405,333.827,286.463,222.416,166.712,98.402,63.206,36.042,17.036,4.583,0.606,0.035
Turkey,2020,3356.73,3502.739,3462.103,3488.963,3449.266,3244.671,3218.521,3188.251,2977.206,2661.822,2315.977,1989.447,1580.771,1212.619,861.882,583.891,355.837,152.903,29.563,2.829,0.134
United Arab Emirates,2020,254.845,261.57,231.043,200.605,487.25,1082.433,1321.938,966.919,677.914,534.173,335.612,255.272,143.69,36.818,24.189,14.618,4.405,2.394,0.531,0.121,0.009
Yemen,2020,2099.843,1998.266,1808.305,1627.521,1482.136,1419.189,1173.529,908.535,694.883,509.275,363.681,299.483,243.806,173.95,118.244,63.895,28.427,9.383,2.262,0.345,0.027
Kazakhstan,2020,990.433,1001.296,825.24,572.044,563.709,740.054,815.061,666.207,581.18,533.919,458.683,485.272,353.476,247.842,118.757,73.998,63.831,16.87,4.742,0.308,0.017
Kyrgyzstan,2020,390.192,394.094,306.383,254.784,261.997,288.994,284.861,222.02,178.983,157.279,140.916,132.52,98.499,61.342,29.818,10.918,8.885,3.955,0.739,0.088,0.003
Tajikistan,2020,697.535,626.648,502.336,415.923,425.447,412.512,391.557,302.351,234.756,200.017,180.413,158.148,118.135,66.177,36.111,18.974,12.86,4.305,1.418,0.111,0.004
Turkmenistan,2020,335.491,340.575,265.315,244.979,233.163,276.035,262.12,213.45,186.025,155.193,137.592,113.456,88.455,56.121,29.035,14.452,12.092,4.274,1.328,0.146,0.013
Uzbekistan,2020,1766.87,1683.922,1500.617,1296.217,1419.687,1616.005,1523.58,1264.608,1038.719,889.583,749.442,703.547,544.985,354.844,148.93,98.191,65.17,23.652,7.43,0.825,0.094
Afghanistan,2020,2907.406,2774.63,2651.664,2377.941,2017.279,1610.796,1299.121,1068.167,868.02,677.226,529.188,411.379,305.081,215.637,140.254,76.897,33.115,10.185,2.053,0.215,0.011
Bangladesh,2020,7320.193,7476.957,7707.436,7975.294,7742.47,7257.687,6778.96,6271.177,5553.52,4718.381,4264.73,3479.495,2371.855,1489.609,1206.898,855.121,487.662,217.066,68.178,14.498,1.921
Bhutan,2020,32.463,31.475,33.626,35.6,39.586,43.615,41.173,34.365,27.926,21.405,17.901,13.539,11.167,8.485,7.152,5.278,3.12,1.508,0.546,0.136,0.021
India,2020,61228.414,61877.169,66302.628,66670.855,64865.811,62039.339,58874.888,53993.918,46631.243,40756.605,35202.663,30150.272,24694.672,19168.129,11627.908,7062.999,3831.463,1575.584,437.188,91.981,17.241
Iran (Islamic Republic of),2020,3913.297,3566.704,3185.825,2829.745,2801.162,3382.446,4211.84,4120.405,3270.956,2608.048,2321.587,1826.123,1559.797,1128.726,709.933,471.441,306.847,162.121,27.495,3.67,0.238
Maldives,2020,18.395,19.317,16.953,13.523,36.109,68.578,60.47,35.546,23.424,16.85,10.685,7.451,5.686,3.304,2.281,2.065,1.416,0.657,0.178,0.035,0.005
Nepal,2020,1385.708,1385.863,1474.13,1604.814,1536.298,1135.023,776.203,603.766,605.69,622.553,579.427,485.413,382.303,312.559,209.634,150.684,69.868,22.86,5.124,0.491,0.024
Pakistan,2020,14509.296,13226.191,12154.761,11443.015,10741.968,9820.991,8597.168,7144.302,5922.918,4905.18,4176.69,3485.956,2666.009,1821.463,1372.079,939.571,494.894,193.109,48.962,6.911,0.573
Sri Lanka,2020,844.332,856.054,864.563,830.615,742.888,674.562,623.281,681.648,730.689,659.699,639.901,589.177,513.111,405.408,312.254,164.667,77.654,38.529,14.65,3.286,0.383
China,2020,44456.332,46320.144,45349.923,44103.122,46273.865,51522.843,66443.228,51345.507,49289.359,61173.349,62348.02,49958.045,38917.285,36526.788,21425.163,12207.276,6883.629,2843.084,731.228,116.377,12.773
"China, Hong Kong SAR",2020,188.529,160.585,151,137.802,188.896,227.407,227.369,231.608,225.688,233.295,245.206,295.025,292.2,223.73,168.06,89.258,81.401,47.987,19.833,4.226,0.561
"China, Macao SAR",2020,18.367,16.913,12.603,11.566,18.428,25.998,31.65,30.124,21.674,21.656,19.559,23.956,22.359,17.089,10.643,4.421,2.93,1.476,0.574,0.103,0.011
"China, Taiwan Province of China",2020,523.999,540.94,506.747,632.322,781.583,833.607,825.166,964.222,1005.619,869.277,892.481,900.189,820.905,667.281,434.532,255.257,184.145,124.436,55.474,14.501,1.63
Dem. People's Republic of Korea,2020,893.899,861.542,860.705,957.471,993.029,1010.436,939.547,906.834,784.832,1080.861,1062.218,722.484,694.892,284.259,284.541,178.807,73.732,15.677,2.333,0.261,0.019
Japan,2020,2453.834,2773.482,2856.888,2926.787,3075.58,3151.556,3475.526,3918.085,4307.199,5088.697,4364.792,3964.557,3733.454,4095.95,4312.462,3160.764,2209.841,1282.793,495.632,95.394,9.772
Mongolia,2020,190.221,183.2,142.428,110.273,114.926,136.454,154.283,128.521,109.951,97.755,79.939,66.435,42.559,26.406,14.904,9.692,4.881,1.754,0.397,0.056,0.004
Republic of Korea,2020,974.3,1158.751,1174.844,1289.269,1683.129,1870.859,1733.487,1974.613,2015.813,2186.422,2168.485,2082.574,1855.904,1287.861,929.821,664.9,403.886,160.921,41.739,7.689,0.587
Brunei Darussalam,2020,16.252,17.907,16.136,17.374,18.502,18.046,20.311,20.641,18.729,16.598,14.191,11.583,8.821,5.621,2.953,1.688,0.99,0.451,0.155,0.034,0.004
Cambodia,2020,907.287,893.05,839.051,732.95,773.818,809.446,602.128,796.606,293.031,380.18,341.437,298.319,176.808,144.293,87.757,50.969,23.282,9.677,2.09,0.236,0.009
Indonesia,2020,12092.736,12411.28,11809.874,12008.052,11625.762,10640.126,9955.229,10590.213,9893.522,9169.094,8007.935,6540.189,5149.357,3560.471,2092.055,1271.922,629.423,208.338,55.562,6.347,0.374
Lao People's Democratic Republic,2020,406.336,392.013,385.184,359.01,348.86,336.795,298.072,247.306,207.919,178.44,143.371,118.663,91.761,64.169,36.347,21.644,11.155,3.854,0.806,0.084,0.005
Malaysia,2020,1356.48,1291.474,1258.164,1376.593,1473.764,1493.496,1512.767,1435.436,1106.638,974.175,840.52,762.367,617.475,459.299,314.843,174.51,109.584,51.235,16.812,4.322,0.859
Myanmar,2020,2276.58,2271.644,2432.699,2540.64,2366.526,2170.481,2011.88,1925.362,1801.758,1628.445,1407.402,1132.495,890.618,642.954,367.993,208.612,100.973,35.433,6.911,0.738,0.046
Philippines,2020,5450.633,5846.072,5578.251,5407.659,5191.755,4807.611,4166.778,3644.549,3297.341,2883.722,2538.943,2075.862,1614.771,1137.017,709.616,381.08,202.363,75.335,16.873,2.375,0.219
Singapore,2020,134.065,113.785,123.017,136.872,219.32,238.248,230.476,237.814,245.431,259.745,248.653,259.893,238.777,189.395,90.151,44.139,30.745,15.018,5.434,1.126,0.153
Thailand,2020,1850.417,1976.67,2117.236,2244.846,2449.911,2427.195,2231.722,2361.773,2580.352,2680.302,2658.634,2405.809,2039.042,1493.033,1012.908,682.768,437.181,214.395,81.178,17.978,2.71
Timor-Leste,2020,90.693,78.325,78.085,77.508,65.832,58.282,45.34,35.045,23.326,27.514,24.538,20.416,15.086,9.77,8.479,4.92,2.271,0.656,0.14,0.015,0.001
Viet Nam,2020,4164.842,4004.759,3734.036,3364.847,3500.183,4363.621,4278.909,3915.663,3525.539,3266.831,2907.946,2530.1,2012.144,1339.456,664.802,422.995,298.067,193.013,79.054,25.681,5.766
Antigua and Barbuda,2020,3.73,3.668,3.445,3.563,3.827,3.643,3.375,3.306,3.209,3.17,3.159,2.786,2.167,1.578,1.163,0.741,0.418,0.217,0.081,0.02,0.003
Aruba,2020,3.107,2.89,3.447,3.651,3.806,3.802,2.742,2.695,3.028,3.477,3.739,4.166,3.51,2.685,1.896,1.107,0.6,0.235,0.053,0.006,0
Bahamas,2020,13.896,13.649,15.659,16.178,16.718,16.567,13.846,13.07,13.237,13.764,12.14,11.138,7.956,5.358,3.543,2.362,1.297,0.518,0.163,0.03,0.004
Barbados,2020,7.686,7.875,8.923,9.747,9.539,9.407,9.015,9.274,9.22,9.748,9.394,9.453,8.54,6.94,5.482,3.576,2.601,1.518,0.769,0.284,0.093
Cuba,2020,293.5,322.66,310.481,330.604,360.184,372.479,423.331,351.949,312.681,473.885,489.484,470.453,292.245,266.286,210.228,162.323,99.845,50.687,22.061,6.911,1.191
Curaçao,2020,4.599,5.293,5.346,5.667,4.862,4.919,4.269,4.112,3.969,4.883,5.137,5.564,4.839,4.059,3.371,2.114,1.396,0.711,0.27,0.078,0.011
Dominican Republic,2020,511.788,508.235,498.257,488.573,477.213,458.494,409.657,372.387,331.702,298.598,264.099,229.801,188.646,141.088,96.39,63.588,42.55,23.065,9.85,3.282,0.943
Grenada,2020,4.61,4.665,4.435,3.836,4.406,4.843,4.787,4.442,3.296,3.294,3.052,3.147,2.834,1.943,1.329,0.84,0.564,0.261,0.071,0.01,0.001
Guadeloupe,2020,11.637,11.225,14.801,15.101,14.206,9.718,7.115,6.762,8.747,11.923,13.736,14.338,12.435,10.453,8.801,5.717,4.018,2.286,1.117,0.341,0.079
Haiti,2020,643.767,629.566,609.977,575.774,528.825,482.935,444.936,403.546,302.438,227.015,202.596,173.422,139.622,107.363,66.963,47.971,25.55,10.402,3.046,0.641,0.09
Jamaica,2020,117.906,119.381,115.152,122.344,133.044,129.067,117.46,102.582,84.021,85.311,82.115,73.155,57.662,44.233,34.577,23.427,15.156,8.305,3.729,0.87,0.144
Martinique,2020,9.349,9.076,11.75,12.337,12.416,8.764,7.319,7.243,7.832,10.698,13.448,14.496,13.353,10.735,8.808,6.097,4.67,2.808,1.113,0.254,0.041
Puerto Rico,2020,43.553,80.256,108.185,98.626,79.018,74.703,78.418,84.514,93.794,94.521,96.17,90.739,87.461,69.792,67.547,49.716,30.854,17.47,7.533,2.216,0.432
Saint Lucia,2020,5.485,5.563,5.646,6.622,7.919,8.486,7.001,6.846,6.309,6.019,6.003,5.323,3.993,3.024,2.317,1.642,1.194,0.607,0.299,0.099,0.025
Saint Vincent and the Grenadines,2020,3.904,4.113,4.223,4.693,4.743,4.16,4.027,3.803,3.782,3.612,3.485,3.518,2.757,1.954,1.345,0.902,0.669,0.418,0.095,0.013,0.002
Trinidad and Tobago,2020,44.905,48.795,48.834,45.303,43.277,48.974,58.775,62.801,50.492,44.587,40.452,44.637,36.701,28.619,20.301,12.885,6.717,2.733,0.925,0.205,0.029
United States Virgin Islands,2020,3.073,3.552,3.6,3.511,3.369,3.134,2.112,2.225,2.516,2.902,3.308,3.458,3.52,2.941,2.849,2.055,0.972,0.381,0.106,0.015,0.002
Belize,2020,19.985,19.578,19.35,20.047,19.61,18.097,15.648,13.243,11.077,10.098,8.582,7.176,5.18,3.732,2.592,1.681,1.127,0.598,0.305,0.047,0.008
Costa Rica,2020,178.099,182.964,181.789,185.752,204.063,215.602,217.91,199.003,174.231,149.226,149.636,145.697,118.906,85.979,65.944,42.534,26.505,13.883,5.685,1.464,0.204
El Salvador,2020,294.856,292.036,294.937,295.844,310.848,275.904,214.396,178.192,164.893,147.488,129.205,112.257,92.893,76.493,58.108,45.689,31.75,15.345,4.5,0.738,0.052
Guatemala,2020,1055.31,1012.605,983.641,991.664,913.169,806.637,666.771,567.574,447.097,338.571,260.433,207.966,174.242,146.55,98.6,72.04,48.522,25.378,8.627,1.567,0.145
Honduras,2020,520.427,505.121,522.077,530.91,515.875,450.954,394.116,342.453,285.262,226.369,182.007,141.105,111.101,84.711,56.234,37.004,23.952,12.916,4.895,1.24,0.151
Mexico,2020,5604.781,5731.706,5692.822,5695.013,5505.161,5384.13,4748.412,4343.789,4029.738,3782.769,3236.044,2742.491,2169.271,1657.202,1125.991,774.478,456.066,248.866,107.034,30.998,4.724
Nicaragua,2020,335.511,338.768,328.582,311.896,300.937,294.425,273.325,246.411,199.14,157.274,123.835,105.123,89.687,65.436,36.235,28.777,17.719,8.286,2.736,0.641,0.105
Panama,2020,199.05,196.392,188.589,181.761,176.589,165.802,159.313,151.56,144.232,133.884,116.515,97.629,77.685,58.837,43.175,30.543,19.68,11.13,5.213,1.833,0.468
Argentina,2020,1903.426,1889.129,1831.221,1799.76,1762.738,1775.21,1658.744,1550.297,1518.156,1278.269,1103.469,1003.393,877.065,745.751,578.876,385.738,228.228,113.405,38.29,7.286,0.695
Bolivia (Plurinational State of),2020,605.964,602.325,592.77,579.611,541.104,492.994,438.428,385.058,333.313,283.21,237.469,198.046,163.721,134.236,107.091,76.945,47.16,24.975,10.304,2.824,0.471
Brazil,2020,7404.646,7464.84,7623.386,8253.31,8685.557,8534.004,8571.684,8593.722,7704.528,6721.639,6170.933,5508.456,4423.28,3394.482,2351.464,1480.939,921.508,423.007,161.001,37.722,5.675
Chile,2020,591.86,643.991,635.584,632.461,712.076,808.869,785.253,707.035,663.019,621.476,595.301,550.477,467.461,376.586,263.359,175.953,107.532,57.264,24.091,5.242,0.779
Colombia,2020,1898.922,1893.684,1978.788,2166.822,2246.568,2235.008,2032.111,1850.248,1647.786,1422.231,1371.075,1239.798,957.019,771.771,537.856,346.356,218.269,112.047,45.208,11.65,1.347
Ecuador,2020,852.48,822.971,794.178,795.398,795.841,741.93,684.119,614.345,544.919,487.453,424.183,354.801,291.42,233.026,154.896,111.561,67.833,35.155,13.671,3.27,0.377
French Guiana,2020,18.222,15.697,14.63,14.213,12.646,9.995,8.574,9.495,9.621,8.626,7.344,5.891,4.79,3.749,2.232,1.297,0.529,0.131,0.053,0.014,0.001
Guyana,2020,37.908,37.964,35.865,37.714,40.358,34.806,22.081,24.489,22.595,22.402,21.528,17.928,14.961,9.472,7.239,3.478,3.066,0.892,0.471,0.276,0.056
Paraguay,2020,358.637,348.935,345.842,337.038,346.443,328.301,303.627,262.782,208.611,163.653,146.953,129.886,111.11,91.006,62.432,40.523,24.038,10.018,3.639,0.782,0.104
